Eh 1.0/7.0
  0.7367038 -0.01596032
  0.742557 -0.01565109
  0.7484069 -0.01533874
  0.7542517 -0.01502234
  0.7600912 -0.01470084
  0.7659269 -0.01437306
  0.7717619 -0.01403794
  0.7776 -0.01369678
  0.7834421 -0.01335261
  0.7892861 -0.01300866
  0.7951269 -0.01266837
  0.800956 -0.01233181
  0.8067662 -0.01199158
  0.8125531 -0.01163928
  0.8183158 -0.01126651
  0.8240568 -0.01086844
  0.8297811 -0.0104576
  0.8354947 -0.01005159
  0.8412034 -0.009667833
  0.8469133 -0.009320368
  0.8526289 -0.008999951
  0.8583544 -0.008687241
  0.8640942 -0.008362692
  0.8698529 -0.008010513
  0.8756348 -0.007634833
  0.8814413 -0.007246315
  0.8872692 -0.006856084
  0.8931122 -0.006470712
  0.8989636 -0.006089266
  0.9048191 -0.005710007
  0.9106767 -0.005331396
  0.9165354 -0.004953052
  0.9223946 -0.004574861
  0.9282531 -0.004196855
  0.9341102 -0.003819563
  0.939965 -0.003443621
  0.945817 -0.00306946
  0.9516682 -0.002697079
  0.9575232 -0.002326113
  0.9633794 -0.001955646
  0.969215 -0.001586786
  0.9750061 -0.001231134
  0.9807516 -0.0009013554
  0.9864415 -0.000597491
  0.991914 -0.0003218359
  0.9966831 -0.0001184412
  1.0 0.0
