AH 79-K-143/18
  0.8974013 -0.006686156
  0.9036442 -0.005654296
  0.9098941 -0.004685622
  0.9161383 -0.003771683
  0.9223058 -0.002917217
  0.9283371 -0.002140937
  0.9342284 -0.001454603
  0.9400099 -0.0008597555
  0.9456846 -0.0003508969
  0.9512071 7.45349e-05
  0.9565183 0.0004122094
  0.9615974 0.0006565939
  0.966455 0.0008100406
  0.971074 0.0008901229
  0.9753909 0.0009156058
  0.9793597 0.000879295
  0.9829992 0.0007581204
  0.9863553 0.0005656252
  0.9894614 0.0003955309
  0.9923508 0.000295273
  0.9950923 -8.694133e-06
  0.9977236 -0.0006475507
  1.0 0.0
