SOKOLOV AIRFOIL
  0.9431717 0.008036671
  0.9495766 0.007111064
  0.9557763 0.0062193
  0.9616454 0.00537959
  0.9671573 0.004594985
  0.9723132 0.003864557
  0.9771309 0.003185096
  0.9816362 0.002552356
  0.9858577 0.001961822
  0.9898234 0.001409136
  0.9935594 0.0008902907
  0.9970893 0.0004016991
  1.0 0.0
