LDS-2 AIRFOIL
  0.0002397079 -0.001390618
  0.0004424205 -0.002152226
  0.0006975153 -0.002913481
  0.001007172 -0.003672766
  0.001374048 -0.004427371
  0.001801051 -0.005173204
  0.00229089 -0.005904675
  0.002844031 -0.006618105
  0.003458981 -0.007312435
  0.004133772 -0.007986999
  0.004866096 -0.008641505
  0.005653936 -0.009276167
  0.006498691 -0.009892046
  0.007403424 -0.0104906
  0.008371438 -0.01107353
  0.009406182 -0.01164283
  0.01051106 -0.01220095
  0.0116891 -0.01275096
  0.0129424 -0.01329665
  0.01427422 -0.01384078
  0.01569148 -0.01438368
  0.0172021 -0.01492566
  0.01881473 -0.01546746
  0.0205388 -0.0160104
  0.02238469 -0.01655672
  0.02436414 -0.01711007
  0.02649078 -0.01767578
  0.02878143 -0.01825709
  0.03125577 -0.01885542
  0.03393591 -0.01947252
  0.03684589 -0.02011064
  0.04001136 -0.0207725
  0.04345927 -0.02145965
  0.04721441 -0.02217241
  0.05129503 -0.02291046
  0.05570833 -0.02367119
  0.06044494 -0.02444767
  0.06547697 -0.02523097
  0.0707648 -0.0260122
  0.07627137 -0.02678499
  0.08197705 -0.02754637
  0.08786985 -0.02829375
  0.09393299 -0.02902447
  0.1001444 -0.02973614
  0.1064776 -0.03042649
  0.1129067 -0.03109303
  0.1194114 -0.03173423
  0.1259798 -0.03234988
  0.1326086 -0.03294103
  0.139294 -0.03350928
  0.1460228 -0.03405579
  0.1527718 -0.03458114
  0.1595128 -0.03508257
  0.1662325 -0.03555448
  0.1729391 -0.03599268
  0.1796613 -0.03639481
  0.1864365 -0.03676608
  0.1932857 -0.03711515
  0.2002065 -0.03744981
  0.2071711 -0.03777496
  0.2141424 -0.03808729
  0.2210914 -0.03838221
  0.2279996 -0.03865586
  0.2348587 -0.03890507
  0.2416701 -0.03912721
  0.2484436 -0.03931999
  0.2551968 -0.03948161
  0.2619503 -0.0396133
  0.2687211 -0.03971748
  0.2755212 -0.03979627
  0.2823578 -0.03985163
  0.2892334 -0.03988548
  0.2961447 -0.03989976
  0.3030825 -0.03989651
  0.3100334 -0.03987647
  0.3169852 -0.0398389
  0.3239291 -0.03978305
  0.33086 -0.0397082
  0.3377765 -0.03961367
  0.3446808 -0.03949871
  0.3515783 -0.03936254
  0.3584774 -0.03920503
  0.3653853 -0.03902702
  0.3723075 -0.03882939
  0.3792472 -0.03861307
  0.3862057 -0.03837903
  0.3931818 -0.03812832
  0.4001723 -0.03786212
  0.4071716 -0.03758143
  0.4141744 -0.03728646
  0.4211771 -0.03697726
  0.4281779 -0.03665381
  0.4351767 -0.03631602
  0.4421757 -0.03596371
  0.4491786 -0.03559656
  0.4561909 -0.03521438
  0.4632187 -0.03481802
  0.4702665 -0.0344087
  0.4773372 -0.03398775
  0.484432 -0.03355664
  0.4915504 -0.03311694
  0.4986899 -0.03267041
  0.505846 -0.03221881
  0.5130135 -0.03176296
  0.5201878 -0.03130324
  0.5273652 -0.03083996
  0.5345432 -0.03037335
  0.5417203 -0.02990361
  0.5488962 -0.02943085
  0.5560714 -0.02895515
  0.5632473 -0.02847698
  0.570425 -0.02799696
  0.5776052 -0.02751574
  0.5847884 -0.02703401
  0.591975 -0.02655244
  0.5991648 -0.02607176
  0.6063576 -0.02559262
  0.6135528 -0.0251152
  0.62075 -0.02463943
  0.6279489 -0.02416523
  0.6351491 -0.02369252
  0.6423506 -0.02322122
  0.6495532 -0.02275122
  0.6567571 -0.02228241
  0.6639623 -0.02181453
  0.6711686 -0.02134726
  0.678376 -0.02088031
  0.685584 -0.02041338
  0.6927922 -0.01994619
  0.7 -0.01947846
  0.7072067 -0.01901001
  0.7144116 -0.01854117
  0.7216143 -0.01807245
  0.7288143 -0.01760435
  0.7360116 -0.01713736
  0.7432062 -0.01667193
  0.7503984 -0.01620853
  0.7575885 -0.01574744
  0.7647773 -0.01528822
  0.7719653 -0.01483027
  0.7791536 -0.01437295
  0.7863433 -0.01391562
  0.7935357 -0.01345763
  0.8007324 -0.01299832
  0.8079351 -0.01253712
  0.8151448 -0.01207403
  0.8223615 -0.01160925
  0.8295836 -0.01114309
  0.8368079 -0.01067593
  0.8440301 -0.01020828
  0.8512442 -0.009740716
  0.8584434 -0.009273821
  0.8656224 -0.008807884
  0.8727796 -0.008342912
  0.8799171 -0.007878673
  0.8870408 -0.007414697
  0.8941599 -0.006950286
  0.9012873 -0.006484503
  0.9084381 -0.00601632
  0.9156167 -0.005545561
  0.922806 -0.005073496
  0.9299661 -0.004602903
  0.9370378 -0.004137841
  0.9439495 -0.00368317
  0.9506285 -0.003243813
  0.9570134 -0.002823917
  0.9630663 -0.002425955
  0.9687757 -0.002050683
  0.9741479 -0.001697653
  0.9792006 -0.001365702
  0.9839565 -0.001053316
  0.9884402 -0.0007588657
  0.9926762 -0.0004807428
  0.9966872 -0.0002174345
