M6 (85%)     
  0.06452681 -0.02485
  0.06971101 -0.02531523
  0.07533859 -0.02578241
  0.08134398 -0.02625677
  0.08757016 -0.02672102
  0.0938682 -0.02715596
  0.1001582 -0.02754934
  0.1064442 -0.0278975
  0.1127678 -0.02820636
  0.1191653 -0.0284826
  0.1256655 -0.02873216
  0.1322887 -0.02896068
  0.1390441 -0.02917388
  0.1459266 -0.02937771
  0.1529122 -0.02957829
  0.15996 -0.02977781
  0.1670291 -0.02997346
  0.1740874 -0.03016241
  0.181114 -0.03034224
  0.1880992 -0.03051096
  0.1950436 -0.0306669
  0.2019577 -0.03080868
  0.208859 -0.03093639
  0.2157652 -0.03105247
  0.2226894 -0.03115943
  0.2296411 -0.03125971
  0.2366251 -0.0313557
  0.2436423 -0.03144977
  0.2506886 -0.03154431
  0.2577555 -0.03164096
  0.2648331 -0.0317391
  0.2719135 -0.03183769
  0.2789905 -0.03193575
  0.2860603 -0.0320323
  0.2931208 -0.03212641
  0.3001721 -0.03221717
  0.3072161 -0.03230392
  0.3142556 -0.0323867
  0.3212931 -0.03246574
  0.3283305 -0.03254124
  0.3353696 -0.0326134
  0.342412 -0.0326824
  0.3494586 -0.03274843
  0.3565103 -0.03281168
  0.3635674 -0.03287232
  0.3706303 -0.03293053
  0.3776984 -0.03298649
  0.3847715 -0.03304036
  0.3918484 -0.03309232
  0.3989279 -0.03314254
  0.4060085 -0.03319112
  0.4130884 -0.03323779
  0.4201661 -0.03328212
  0.4272401 -0.03332365
  0.4343092 -0.03336199
  0.4413726 -0.03339669
  0.4484294 -0.03342735
  0.455479 -0.03345356
  0.462521 -0.0334749
  0.4695552 -0.03349098
  0.4765816 -0.03350139
  0.4836003 -0.03350574
  0.4906118 -0.03350363
  0.4976164 -0.03349468
  0.504615 -0.0334785
  0.5116082 -0.03345489
  0.518597 -0.03342374
  0.5255819 -0.03338497
  0.5325636 -0.03333848
  0.5395427 -0.03328417
  0.5465199 -0.03322194
  0.5534955 -0.03315168
  0.56047 -0.03307328
  0.5674438 -0.03298665
  0.5744173 -0.03289167
  0.5813908 -0.03278823
  0.5883644 -0.03267623
  0.5953384 -0.03255555
  0.602313 -0.03242609
  0.6092881 -0.03228769
  0.6162639 -0.03214015
  0.62324 -0.03198326
  0.6302163 -0.03181681
  0.6371923 -0.03164062
  0.6441675 -0.03145448
  0.6511411 -0.0312582
  0.6581124 -0.03105161
  0.6650803 -0.03083454
  0.6720439 -0.03060683
  0.6790019 -0.03036834
  0.6859529 -0.03011892
  0.6928956 -0.02985847
  0.6998284 -0.02958687
  0.7067496 -0.02930398
  0.7136577 -0.0290094
  0.7205516 -0.02870266
  0.7274307 -0.02838329
  0.7342948 -0.02805078
  0.7411442 -0.02770464
  0.7479796 -0.02734435
  0.7548022 -0.02696935
  0.7616134 -0.02657908
  0.7684152 -0.02617291
  0.7752099 -0.0257502
  0.7820002 -0.02531025
  0.7887892 -0.0248523
  0.7955805 -0.02437555
  0.8023781 -0.0238791
  0.8091862 -0.02336256
  0.8160087 -0.02282633
  0.8228485 -0.02227093
  0.8297074 -0.02169697
  0.8365865 -0.02110512
  0.8434854 -0.02049618
  0.8504027 -0.01987105
  0.857336 -0.01923078
  0.8642816 -0.01857657
  0.8712343 -0.01790977
  0.8781881 -0.01723191
  0.8851357 -0.01654464
  0.8920684 -0.0158498
  0.8989771 -0.01514934
  0.905851 -0.01444433
  0.9126745 -0.01373015
  0.9194236 -0.01300106
  0.9260677 -0.01225292
  0.9325726 -0.0114833
  0.9389037 -0.0106915
  0.9450298 -0.009878336
  0.9509252 -0.009045878
  0.9565724 -0.008198289
  0.9619641 -0.007342534
  0.967102 -0.006484622
  0.9719941 -0.005629151
  0.9766518 -0.004779519
  0.9810889 -0.003938154
  0.9853198 -0.003106727
  0.9893591 -0.002286333
  0.9932207 -0.001477635
  0.9969177 -0.0006809805
  1.0 0.0
