AG44ct -02f
  0.5189752 0.04502332
  0.5128308 0.04548834
  0.5066847 0.04594479
  0.5005391 0.04639241
  0.494395 0.04683082
  0.488252 0.04725978
  0.4821089 0.04767918
  0.475964 0.04808912
  0.4698172 0.04848995
  0.4636709 0.04888172
  0.4575271 0.04926385
  0.4513847 0.04963585
  0.4452415 0.04999779
  0.4390981 0.05034981
  0.4329564 0.05069165
  0.4268161 0.05102285
  0.4206739 0.05134342
  0.4145289 0.05165396
  0.4083857 0.05195458
  0.4022482 0.05224422
  0.3961135 0.05252186
  0.3899757 0.05278785
  0.383835 0.05304308
  0.3776969 0.05328739
  0.3715638 0.0535197
  0.3654317 0.05373943
  0.3592974 0.05394706
  0.3531642 0.05414291
  0.347037 0.05432608
  0.3409145 0.05449535
  0.3347911 0.05465065
  0.3286655 0.05479267
  0.3225428 0.05492144
  0.3164267 0.0550358
  0.3103157 0.05513475
  0.3042063 0.05521808
  0.2980977 0.05528577
  0.2919911 0.0553376
  0.2858884 0.05537324
  0.2797919 0.05539208
  0.2737017 0.05539311
  0.2676161 0.0553755
  0.2615337 0.05533897
  0.2554551 0.05528326
  0.2493824 0.05520774
  0.2433171 0.05511161
  0.2372596 0.05499399
  0.2312095 0.05485387
  0.2251652 0.05469045
  0.219127 0.05450325
  0.2130971 0.05429177
  0.2070781 0.05405485
  0.20107 0.05379114
  0.1950718 0.05349955
  0.1890832 0.05317918
  0.1831051 0.05282909
  0.1771393 0.05244831
  0.171188 0.05203575
  0.1652531 0.05158984
  0.1593351 0.05110889
  0.1534339 0.05059136
  0.1475496 0.05003579
  0.1416832 0.04944074
  0.1358376 0.04880497
  0.1300168 0.04812705
  0.1242239 0.04740472
  0.1184589 0.04663545
  0.1127219 0.04581713
  0.1070167 0.04494823
  0.1013486 0.04402683
  0.09572135 0.0430503
  0.09013663 0.04201587
  0.08459852 0.04092134
  0.0791149 0.03976517
  0.07369515 0.03854483
  0.06834691 0.03725751
  0.06307721 0.0359002
  0.05789444 0.03447045
  0.05280921 0.03296672
  0.04783808 0.03138927
  0.04300332 0.02974159
  0.03833368 0.02802857
  0.03386105 0.02625926
  0.029621 0.02444713
  0.02565962 0.02261463
  0.0220191 0.02079112
  0.01873724 0.01900723
  0.01583437 0.01729464
  0.01330315 0.01567484
  0.01112392 0.01416073
  0.009261112 0.0127578
  0.007672808 0.01146086
  0.006319222 0.01025965
  0.005162408 0.009143403
  0.004171777 0.00810118
  0.003322714 0.007123405
  0.002594665 0.006201852
  0.001974173 0.005327968
  0.001449739 0.004494117
  0.001012474 0.003694424
  0.0006574679 0.002924741
  0.0003800195 0.002181924
  0.0001785167 0.00146467
  5.205731e-05 0.0007716064
  1.078085e-06 0.0001007408
  3.021771e-05 -0.0005576442
  0.0001496568 -0.001218667
  0.0003753432 -0.001883726
  0.0007183262 -0.002537043
  0.001177688 -0.003159528
  0.001752458 -0.003742891
  0.002438885 -0.004298202
  0.003228037 -0.00483891
  0.004123959 -0.005371929
  0.005138502 -0.005904756
  0.006288447 -0.006446445
  0.007600768 -0.007001889
  0.009108706 -0.0075778
  0.01085484 -0.00817996
  0.01289216 -0.008812273
  0.01528081 -0.009480567
  0.0180852 -0.01018414
  0.02135443 -0.01091448
  0.02511355 -0.0116604
  0.02934971 -0.01240169
  0.03399774 -0.01311782
  0.03898237 -0.0137934
  0.04422162 -0.01441685
  0.04964717 -0.01498436
  0.05521041 -0.01549473
  0.0608781 -0.01595061
  0.06663042 -0.01635616
  0.07245143 -0.01671643
  0.07832788 -0.01703593
  0.08424712 -0.01731868
  0.09019759 -0.01756785
  0.09617203 -0.01778526
  0.1021685 -0.01797301
  0.1081865 -0.0181335
  0.1142245 -0.01826913
  0.1202795 -0.01838188
  0.1263482 -0.01847358
  0.1324277 -0.01854554
  0.1385184 -0.01859877
  0.144623 -0.01863477
  0.1507421 -0.01865567
  0.1568726 -0.01866329
  0.1630108 -0.01865863
  0.1691551 -0.01864256
  0.1753051 -0.01861576
  0.1814609 -0.01857888
  0.1876227 -0.01853269
  0.1937898 -0.01847802
  0.1999606 -0.01841548
  0.2061345 -0.0183454
  0.2123123 -0.01826821
  0.2184942 -0.01818451
  0.2246798 -0.01809488
  0.2308679 -0.0179997
  0.2370583 -0.01789929
  0.2432507 -0.01779394
  0.2494453 -0.01768396
  0.255642 -0.0175696
  0.2618399 -0.01745113
  0.2680374 -0.01732867
  0.274235 -0.01720206
  0.2804361 -0.01707128
  0.2866426 -0.0169372
  0.2928506 -0.01680079
  0.2990551 -0.01666178
  0.3052567 -0.01651923
  0.3114601 -0.01637299
  0.3176673 -0.01622373
  0.3238764 -0.01607196
  0.3300853 -0.01591771
  0.3362943 -0.01576093
  0.3425044 -0.01560174
  0.3487165 -0.01544031
  0.3549306 -0.01527691
  0.3611452 -0.0151119
  0.3673583 -0.01494526
  0.3735703 -0.01477654
  0.3797844 -0.01460563
  0.3860024 -0.01443318
  0.3922218 -0.01425986
  0.3984396 -0.01408553
  0.4046559 -0.0139098
  0.4108722 -0.01373257
  0.4170899 -0.01355393
  0.4233093 -0.01337407
  0.42953 -0.01319328
  0.435751 -0.01301177
  0.4419717 -0.01282949
  0.4481932 -0.01264634
  0.4544162 -0.01246253
  0.4606399 -0.01227836
  0.4668623 -0.01209381
  0.4730837 -0.01190853
  0.4793061 -0.01172244
  0.4855305 -0.01153591
  0.4917563 -0.01134934
  0.4979822 -0.01116285
  0.5042078 -0.01097647
  0.5104334 -0.01079014
  0.516659 -0.01060374
  0.5228845 -0.01041733
  0.5291093 -0.01023106
  0.5353332 -0.01004512
  0.5415564 -0.00985968
  0.5477801 -0.009674734
  0.554004 -0.009489915
  0.5602266 -0.009305425
  0.5664476 -0.009121675
  0.5726679 -0.008938938
  0.5788892 -0.008757073
  0.585112 -0.008575687
  0.5913356 -0.008394611
  0.597557 -0.008213964
  0.6037737 -0.008034789
  0.6099926 -0.00785757
  0.6162127 -0.007680852
  0.6224289 -0.007505327
  0.6286447 -0.007331569
  0.6348637 -0.007158856
  0.6410812 -0.006986584
  0.6472914 -0.006816243
  0.6535005 -0.006648457
  0.6597116 -0.006480496
  0.6659211 -0.006313268
  0.6721289 -0.006148564
  0.6783384 -0.00598623
  0.684553 -0.005825739
  0.6907691 -0.005666203
  0.6969744 -0.005508293
  0.7031739 -0.005353966
  0.7093766 -0.005199853
  0.7155857 -0.005048452
  0.7218005 -0.004898505
  0.7280142 -0.004749881
  0.7342239 -0.004603533
  0.740432 -0.004459939
  0.7466415 -0.004318866
  0.7528524 -0.004180098
  0.7590638 -0.004043564
  0.7652747 -0.003909232
  0.7714846 -0.003777225
  0.7776941 -0.003647714
  0.7839038 -0.003520711
  0.7901137 -0.003396113
  0.7963227 -0.003273972
  0.8025303 -0.00315457
  0.8087375 -0.003038099
  0.8149453 -0.002924471
  0.8211543 -0.002813557
  0.8273644 -0.00270523
  0.8335761 -0.002599338
  0.8397904 -0.002495526
  0.846008 -0.00239329
  0.852229 -0.002292171
  0.8584512 -0.002191802
  0.8646706 -0.00209219
  0.870886 -0.001994178
  0.8771016 -0.001898398
  0.8833218 -0.001804122
  0.8895443 -0.001710402
  0.8957634 -0.001617557
  0.9019792 -0.001526532
  0.9081964 -0.001437423
  0.9144169 -0.001349492
  0.9206373 -0.001262404
  0.9268552 -0.001176573
  0.9330724 -0.001092317
  0.9392897 -0.001009459
  0.9455032 -0.000927802
  0.9517076 -0.0008474816
  0.9579033 -0.0007686984
  0.9640846 -0.0006914885
  0.9702084 -0.0006161353
  0.9761996 -0.0005434725
  0.9820002 -0.0004743986
  0.9875605 -0.0004095147
  0.9926327 -0.0003511378
  0.9969176 -0.0003021362
  1.0 -0.000267
