NN7 MK20
  0.9031782 0.003164396
  0.9098483 0.002993268
  0.9165654 0.002806182
  0.9233166 0.002609751
  0.9300837 0.002407989
  0.9368453 0.002204578
  0.9435768 0.002003197
  0.9502475 0.001807463
  0.9568228 0.00161579
  0.9632722 0.001417679
  0.9695671 0.001207525
  0.9756493 0.0009911262
  0.9814355 0.0007712953
  0.986857 0.0005474263
  0.9918634 0.0003403002
  0.9964159 0.0001490315
  1.0 0.0
