Ornithopter airfoil.
  0.3288956 0.1202373
  0.3223861 0.1197928
  0.3158821 0.1193057
  0.3093838 0.118776
  0.3028918 0.1182035
  0.2964072 0.1175883
  0.2899313 0.1169305
  0.2834659 0.1162297
  0.2770124 0.1154857
  0.2705718 0.1146982
  0.2641449 0.1138669
  0.2577319 0.1129913
  0.2513331 0.1120711
  0.2449482 0.1111059
  0.2385774 0.1100953
  0.2322211 0.1090391
  0.2258801 0.107937
  0.2195555 0.106789
  0.2132489 0.1055949
  0.2069621 0.1043548
  0.2006972 0.1030681
  0.1944566 0.1017345
  0.1882424 0.1003538
  0.1820572 0.09892565
  0.1759032 0.09745002
  0.1697832 0.09592663
  0.1636994 0.09435487
  0.1576539 0.09273402
  0.1516484 0.09106336
  0.1456838 0.08934209
  0.139761 0.08756935
  0.1338812 0.08574426
  0.1280469 0.08386634
  0.1222624 0.08193579
  0.1165332 0.07995348
  0.1108661 0.07792099
  0.1052688 0.07584
  0.09974876 0.07371133
  0.09431158 0.07153545
  0.08896129 0.06931261
  0.08370035 0.06704276
  0.0785313 0.06472578
  0.07346295 0.06236401
  0.06851203 0.05996442
  0.06370052 0.05753825
  0.05905249 0.05509996
  0.05459064 0.0526641
  0.05032936 0.05024081
  0.04627228 0.04783603
  0.04241557 0.04545252
  0.03875092 0.04309075
  0.03527433 0.04075282
  0.03200206 0.03845449
  0.02896056 0.03622292
  0.0261702 0.03408572
  0.02363659 0.03206284
  0.02135135 0.0301623
  0.01929366 0.02837657
  0.01743367 0.02668961
  0.01574204 0.02508431
  0.01419336 0.02354513
  0.01276669 0.02205865
  0.01144504 0.02061344
  0.01021438 0.01920039
  0.00906577 0.01781683
  0.007996415 0.01646725
  0.007006037 0.01515978
  0.006094203 0.01390303
  0.005258919 0.01270384
  0.004496307 0.01156615
  0.003800997 0.01049096
  0.00316798 0.009476772
  0.002598572 0.00851891
  0.002093057 0.007609906
  0.001649188 0.006741747
  0.001263996 0.005906921
  0.0009346431 0.005098713
  0.0006587918 0.004311164
  0.0004347626 0.003538937
  0.0002616068 0.002777132
  0.0001391631 0.002021107
  6.813376e-05 0.001266283
  4.981055e-05 0.0005083747
  8.362899e-05 -0.0002537473
  0.0001688406 -0.001019438
  0.000305733 -0.001787623
  0.0004955321 -0.002556709
  0.0007403578 -0.003324448
  0.001043219 -0.004087729
  0.001408031 -0.004842308
  0.001839625 -0.005582428
  0.002343667 -0.006300531
  0.002925003 -0.006992449
  0.003587255 -0.007659521
  0.004334345 -0.008303739
  0.005170508 -0.008927626
  0.006100111 -0.009534476
  0.007127275 -0.01012871
  0.008255139 -0.01071636
  0.009484506 -0.01130582
  0.01081146 -0.01190871
  0.01223216 -0.01253514
  0.01375394 -0.01318597
  0.0153855 -0.01385989
  0.01713495 -0.01455441
  0.01900969 -0.01526577
  0.02101726 -0.01598932
  0.02316807 -0.01672048
  0.02547963 -0.01745584
  0.02797748 -0.01819501
  0.03068996 -0.01893974
  0.03365039 -0.01969253
  0.0368972 -0.02045665
  0.04047042 -0.02123609
  0.04440194 -0.02203512
  0.0487005 -0.02285386
  0.0533488 -0.02368031
  0.05830105 -0.02449792
  0.06349462 -0.02529097
  0.06887672 -0.02604927
  0.07442923 -0.02677011
  0.0801525 -0.02745333
  0.08604347 -0.02809893
  0.09209265 -0.0287071
  0.09828241 -0.02927839
  0.104587 -0.02981284
  0.1109793 -0.03030887
  0.117436 -0.03076569
  0.1239393 -0.03118362
  0.1304784 -0.03156393
  0.1370501 -0.03190848
  0.1436552 -0.03221882
  0.1502936 -0.03249632
  0.156964 -0.03274235
  0.1636637 -0.03295833
  0.1703886 -0.03314569
  0.1771333 -0.03330549
  0.1838932 -0.03343805
  0.1906643 -0.03354376
  0.1974443 -0.03362303
  0.2042316 -0.03367638
  0.2110262 -0.0337043
  0.217829 -0.03370737
  0.224641 -0.03368623
  0.231463 -0.03364153
  0.2382951 -0.03357392
