 DSMA-523A AIRFOIL
  0.789723 0.003566985
  0.7976499 0.004855308
  0.8055132 0.006065041
  0.813294 0.007193199
  0.8209796 0.008237034
  0.8285626 0.009195641
  0.8360288 0.01006914
  0.8433509 0.01085704
  0.8504983 0.01155742
  0.857456 0.01216881
  0.8642262 0.01269248
  0.8708079 0.0131341
  0.8771667 0.01350029
  0.883246 0.0137964
  0.8890015 0.01401474
  0.8944424 0.01414203
  0.8996135 0.01417099
  0.904572 0.01410533
  0.9093611 0.01399074
  0.9139876 0.01387764
  0.9184336 0.01380694
  0.9226712 0.01380508
  0.9266775 0.01384402
  0.9304568 0.01387399
  0.9340326 0.01385943
  0.9374353 0.01377479
  0.9406963 0.01360006
  0.943846 0.01331749
  0.9469141 0.01290885
  0.9499302 0.0123529
  0.9529285 0.01163873
  0.955953 0.01082028
  0.9590442 0.009974597
  0.9622349 0.00918447
  0.9655386 0.008470168
  0.968959 0.007806821
  0.9724988 0.007163976
  0.9761592 0.006504916
  0.9799387 0.005785265
  0.9838342 0.004959646
  0.9878465 0.004009611
  0.991977 0.002924251
  0.9962254 0.001692412
  1.0 0.000498
