WASP (smoothed)
  0.86471 -0.002195838
  0.871298 -0.002202745
  0.8778832 -0.002217067
  0.8844697 -0.002239117
  0.8910625 -0.002268678
  0.897662 -0.002304756
  0.904262 -0.002346251
  0.9108495 -0.002392079
  0.9174074 -0.002443409
  0.9239222 -0.00250381
  0.9303868 -0.002576823
  0.9367986 -0.002665318
  0.9431479 -0.002769578
  0.9494068 -0.00288875
  0.9555324 -0.003018937
  0.9614588 -0.003140535
  0.9670967 -0.003231506
  0.9723665 -0.003270304
  0.9772412 -0.003223243
  0.9817452 -0.003069602
  0.9859222 -0.002792623
  0.9898252 -0.002370804
  0.9935109 -0.001785719
  0.9970314 -0.001012151
  1.0 -0.00016
