AS5045 (15%)
  0.8573687 -0.005959476
  0.8641801 -0.005303176
  0.870985 -0.004678351
  0.8777771 -0.004085526
  0.8845484 -0.003526265
  0.8912937 -0.003002685
  0.8980112 -0.002516521
  0.9047026 -0.002069174
  0.9113712 -0.001661033
  0.9180148 -0.001291603
  0.9246233 -0.0009606338
  0.93118 -0.0006681092
  0.9376626 -0.0004156078
  0.9440468 -0.0002053768
  0.9503078 -3.889258e-05
  0.9564205 8.230836e-05
  0.9623526 0.0001560959
  0.9680667 0.000181835
  0.9735288 0.0001576266
  0.9787166 7.825732e-05
  0.9836221 -5.863452e-05
  0.9882456 -0.0002569956
  0.992589 -0.0005208562
  0.9966606 -0.0008637174
  1.0 -0.00125
