AG45ct -02f
  0.7169425 -0.004422313
  0.723115 -0.004289168
  0.7292929 -0.004156235
  0.7354705 -0.004024897
  0.7416497 -0.003895748
  0.747832 -0.003768353
  0.7540147 -0.003642481
  0.7601955 -0.003518504
  0.7663763 -0.003396723
  0.7725596 -0.003276785
  0.7787436 -0.003158226
  0.7849244 -0.003041363
  0.7911024 -0.002926973
  0.7972818 -0.00281517
  0.8034642 -0.002705289
  0.8096461 -0.002597008
  0.8158251 -0.002490875
  0.8220037 -0.002387356
  0.8281852 -0.002286042
  0.8343676 -0.00218637
  0.8405465 -0.002088682
  0.8467229 -0.001993831
  0.8529028 -0.001901747
  0.8590878 -0.001811276
  0.8652721 -0.001721871
  0.8714513 -0.001634499
  0.8776281 -0.001550047
  0.8838075 -0.00146816
  0.8899897 -0.001388184
  0.8961719 -0.001310051
  0.9023526 -0.001234019
  0.9085328 -0.001160188
  0.9147136 -0.00108849
  0.9208959 -0.001018797
  0.9270788 -0.0009508772
  0.9332592 -0.0008846811
  0.9394346 -0.0008209746
  0.9456058 -0.0007605643
  0.9517754 -0.0007027975
  0.9579439 -0.0006462954
  0.9641013 -0.0005908875
  0.970203 -0.000537818
  0.9761774 -0.0004882337
  0.9819741 -0.0004424456
  0.9875555 -0.0004004253
  0.9926583 -0.0003632864
  0.9969432 -0.0003326438
  1.0 -0.000311
