FX 78-K-150/20
  0.1158873 -0.02795237
  0.1222873 -0.02832212
  0.1286995 -0.02866081
  0.1351478 -0.0289729
  0.1416437 -0.02926478
  0.1481801 -0.02954219
  0.1547335 -0.02980774
  0.1612826 -0.03005916
  0.167819 -0.03029428
  0.1743477 -0.0305116
  0.1808814 -0.03071186
  0.1874294 -0.03089713
  0.1939944 -0.03106926
  0.2005729 -0.03122986
  0.2071578 -0.03137941
  0.2137448 -0.03151794
  0.2203326 -0.0316456
  0.2269238 -0.03176261
  0.2335222 -0.03186974
  0.2401295 -0.03196796
  0.2467444 -0.03205823
  0.2533629 -0.03214143
  0.2599789 -0.03221761
  0.2665893 -0.03228601
  0.2731942 -0.03234591
  0.2797979 -0.03239661
  0.2864076 -0.03243804
  0.2930295 -0.03247167
  0.2996662 -0.03249925
  0.3063158 -0.03252251
  0.3129721 -0.03254307
  0.3196271 -0.03256103
  0.3262753 -0.03257547
  0.3329156 -0.03258545
  0.3395505 -0.03259007
  0.3461864 -0.0325888
  0.3528295 -0.0325825
  0.3594826 -0.03257234
  0.3661452 -0.03255948
  0.372813 -0.03254511
  0.3794788 -0.03252951
  0.3861368 -0.03251159
  0.3927842 -0.03249013
  0.3994217 -0.03246389
  0.4060527 -0.03243173
  0.4126828 -0.0323934
  0.4193164 -0.03234953
  0.4259561 -0.03230077
  0.4326021 -0.03224781
  0.4392529 -0.03219127
  0.4459055 -0.0321312
  0.452557 -0.03206727
  0.459205 -0.03199916
  0.4658473 -0.03192653
  0.4724823 -0.03184903
  0.4791091 -0.03176607
  0.4857283 -0.03167693
  0.4923421 -0.03158088
  0.498954 -0.03147716
  0.505569 -0.03136516
  0.5121921 -0.03124547
  0.5188255 -0.03111924
  0.5254685 -0.03098767
  0.5321176 -0.03085203
  0.5387662 -0.03071335
  0.5454076 -0.03057102
  0.552038 -0.03042383
  0.5586571 -0.03027053
  0.5652678 -0.0301098
  0.5718759 -0.02994056
  0.5784872 -0.02976294
  0.5851041 -0.02957749
  0.5917258 -0.02938482
  0.5983478 -0.02918569
  0.6049627 -0.02898038
  0.611564 -0.02876767
  0.6181497 -0.02854597
  0.6247217 -0.02831356
  0.6312864 -0.02806858
  0.637853 -0.02781
  0.6444286 -0.02753856
  0.6510146 -0.02725537
  0.6576073 -0.02696178
  0.6641969 -0.02665935
  0.6707709 -0.02634784
  0.6773217 -0.02602503
  0.6838486 -0.02568838
  0.6903576 -0.02533503
  0.6968611 -0.02496213
  0.7033718 -0.02456936
  0.7098948 -0.02415778
  0.7164262 -0.02372899
  0.722953 -0.0232853
  0.7294553 -0.02282759
  0.7359195 -0.02235296
  0.7423447 -0.02185743
  0.7487418 -0.02133617
  0.7551327 -0.02078393
  0.7615401 -0.02019957
  0.7679711 -0.01958515
  0.7744138 -0.01894462
  0.7808369 -0.01828394
  0.7871994 -0.01760413
  0.7934797 -0.01689821
  0.7996837 -0.01615669
  0.8058404 -0.01536752
  0.8119969 -0.0145247
  0.8181966 -0.0136402
  0.8244627 -0.01273124
  0.8307949 -0.01181952
  0.8371681 -0.01092582
  0.8435504 -0.01005862
  0.8499194 -0.009222693
  0.8562636 -0.008420997
  0.8625822 -0.007655473
  0.8688828 -0.006927627
  0.8751805 -0.00623831
  0.881497 -0.005587073
  0.887849 -0.004968934
  0.8942323 -0.004379084
  0.9006185 -0.003815111
  0.9069702 -0.003282655
  0.9132716 -0.002790511
  0.9195337 -0.002344699
  0.9257789 -0.001945834
  0.9320107 -0.001592553
  0.9382081 -0.001285468
  0.9443412 -0.001030143
  0.9503917 -0.0008325689
  0.9563477 -0.0006954969
  0.9621726 -0.0006179907
  0.9677974 -0.0005957777
  0.9731241 -0.0006173082
  0.9780562 -0.0006752461
  0.982491 -0.0007841107
  0.9863511 -0.000925525
  0.9896979 -0.0009930749
  0.9927063 -0.0009523509
  0.9955441 -0.00105252
  0.998114 -0.001203247
  1.0 0.0
