FX 79-W-660A
  0.9513182 -0.2003609
  0.9537464 -0.1972998
  0.9559289 -0.1938242
  0.957928 -0.1899378
  0.9598074 -0.1856529
  0.9616409 -0.181011
  0.9635081 -0.1760998
  0.9654288 -0.1709617
  0.9673951 -0.1656101
  0.9693996 -0.1600589
  0.9714385 -0.1543151
  0.9735155 -0.1483687
  0.975638 -0.1421897
  0.977794 -0.1357546
  0.9799621 -0.1290435
  0.9821148 -0.1220365
  0.984218 -0.114715
  0.9862551 -0.1070571
  0.9882281 -0.09903275
  0.990142 -0.09060246
  0.9920109 -0.08171448
  0.9938833 -0.07231865
  0.9958337 -0.06238492
  0.9979509 -0.05191558
  1.0 -0.04239
