FX 72-LS-160
  0.1063848 0.09638739
  0.101507 0.09405518
  0.0967684 0.09172334
  0.09217118 0.08939744
  0.087719 0.08708405
  0.08341597 0.08479013
  0.0792663 0.08252178
  0.07527378 0.08028289
  0.07144035 0.07807668
  0.06776599 0.07590587
  0.064249 0.07377252
  0.06088682 0.07167726
  0.05767536 0.06961971
  0.05460914 0.06759899
  0.05168184 0.06561388
  0.04888654 0.0636633
  0.04621621 0.06174797
  0.04366504 0.05986953
  0.04122815 0.05802984
  0.03890113 0.0562307
  0.03667983 0.05447357
  0.03456124 0.05275803
  0.03254217 0.05108204
  0.03061851 0.04944317
  0.02878561 0.04783883
  0.02703863 0.04626641
  0.02537262 0.04472346
  0.02378187 0.04320903
  0.022261 0.04172329
  0.02080554 0.04026668
  0.01941169 0.03883977
  0.01807608 0.03744317
  0.01679571 0.03607737
  0.01556935 0.03474164
  0.01439883 0.03343254
  0.0132854 0.03214642
  0.01222943 0.03087984
  0.01123071 0.02962957
  0.0102886 0.02839267
  0.009402207 0.02716642
  0.008569985 0.02594911
  0.007789456 0.0247406
  0.007058221 0.02354084
  0.006374069 0.02234972
  0.00573497 0.02116707
  0.005139059 0.01999266
  0.004584629 0.01882624
  0.004070104 0.01766755
  0.00359364 0.01651682
  0.003153133 0.01537499
  0.002746714 0.01424325
  0.002372714 0.01312287
  0.002029605 0.01201525
  0.001715958 0.01092181
  0.001430414 0.009843959
  0.001171657 0.008783096
  0.0009384636 0.007740452
  0.0007305731 0.006715747
  0.000548318 0.005707202
  0.0003918474 0.004712629
  0.0002611994 0.003729584
  0.0001563797 0.002755436
  7.742563e-05 0.001787417
  2.445845e-05 0.0008226301
  -2.263392e-06 -0.0001419493
  1.21597e-06 -0.001106397
  4.799237e-05 -0.002062996
  0.0001525513 -0.003003008
  0.0003296234 -0.00391777
  0.0005945465 -0.004798478
  0.0009636613 -0.005635965
  0.001452164 -0.006421097
  0.00205476 -0.007149304
  0.002755387 -0.007817807
  0.003537332 -0.008422887
  0.004382729 -0.008959802
  0.005276288 -0.009427071
  0.006213464 -0.009835196
  0.007191095 -0.01019794
  0.00820512 -0.01053072
  0.00925027 -0.01085098
  0.01032021 -0.0111773
  0.01141279 -0.01151503
  0.01252942 -0.01185957
  0.01367197 -0.01220556
  0.01484284 -0.01254698
  0.0160451 -0.01287712
  0.0172827 -0.01318846
  0.01855972 -0.01347548
  0.01987888 -0.0137388
  0.02124269 -0.01398015
  0.02265364 -0.01420159
  0.02411409 -0.01440555
  0.02562608 -0.01459502
  0.02719111 -0.01477361
  0.02881084 -0.0149432
  0.03048793 -0.01510292
  0.03222537 -0.01525162
  0.03402657 -0.01538809
  0.0358955 -0.01551099
  0.03783696 -0.01561888
  0.0398568 -0.01571033
  0.0419618 -0.01578472
  0.04415941 -0.01584181
  0.0464578 -0.01588156
  0.04886584 -0.01590414
  0.05139297 -0.01591016
  0.05404906 -0.01590041
  0.05684475 -0.01587471
  0.05979158 -0.01583266
  0.0629018 -0.0157742
  0.06618835 -0.01569977
  0.06966475 -0.01561015
  0.0733449 -0.01550416
  0.07724321 -0.01537918
  0.08137499 -0.01523214
  0.08575733 -0.01505945
  0.09041021 -0.01485855
  0.09535394 -0.01462966
  0.1006055 -0.01437465
  0.1061752 -0.01409731
  0.1120634 -0.01380004
  0.118261 -0.01348256
  0.1247521 -0.01314477
  0.1315173 -0.01278619
  0.1385354 -0.01240485
  0.1457859 -0.01199802
  0.1532539 -0.01156346
  0.1609278 -0.01110559
  0.1687916 -0.01063236
  0.176823 -0.01015232
  0.1849955 -0.009667876
  0.1932838 -0.009178124
  0.2016667 -0.008681873
  0.2101261 -0.008179514
  0.2186431 -0.00767256
  0.2271971 -0.007162752
  0.2357692 -0.006653326
  0.244349 -0.006148309
  0.2529362 -0.005651123
  0.2615385 -0.005162637
  0.2701613 -0.004680669
  0.2788024 -0.004203167
  0.2874524 -0.003729062
  0.2961007 -0.003259822
  0.3047417 -0.002797269
  0.3133751 -0.002342872
  0.3220046 -0.001897108
  0.3306339 -0.001459776
  0.3392654 -0.001030721
  0.3479002 -0.0006097838
  0.3565386 -0.000196558
  0.3651799 0.0002093978
  0.3738226 0.000608482
  0.3824644 0.001000735
  0.3911037 0.001385754
  0.3997392 0.001763135
  0.4083708 0.002132522
  0.4169985 0.002493666
  0.4256228 0.00284638
  0.4342445 0.003190488
  0.4428646 0.003525862
  0.4514837 0.003852571
  0.4601015 0.004170715
  0.4687173 0.004480362
  0.4773292 0.004781407
  0.4859363 0.005073381
  0.4945389 0.005355809
  0.5031387 0.005628266
  0.5117384 0.005890671
  0.52034 0.006143362
  0.5289435 0.006386657
  0.5375475 0.006620804
  0.5461497 0.006845657
  0.55475 0.007060804
  0.5633507 0.007265884
  0.5719571 0.007460735
  0.5805741 0.007646348
  0.5892021 0.00782418
  0.5978362 0.007995593
  0.6064669 0.008161209
  0.6150857 0.008319279
  0.6236912 0.008467662
  0.6322893 0.008604382
  0.6408909 0.008729026
  0.6495045 0.008843431
  0.6581316 0.00894953
  0.6667672 0.009049005
  0.6754029 0.009141592
  0.6840341 0.009225953
  0.6926612 0.009300797
  0.7012895 0.009365449
  0.709925 0.009420707
  0.7185726 0.00946757
  0.7272354 0.009507096
  0.735914 0.009541065
  0.7446037 0.00957169
  0.7532943 0.009601201
  0.7619719 0.009631968
  0.7706266 0.009666558
  0.7792559 0.009707525
  0.7878632 0.009756453
  0.7964513 0.009812591
  0.8050173 0.009874821
  0.8135529 0.009941549
  0.8220464 0.01000977
  0.8304834 0.01007627
  0.838848 0.01013811
  0.8471221 0.01019302
  0.8552858 0.01023898
