 NLR-7223-43 AIRFOIL
  0.4666157 0.05286909
  0.4598543 0.05302799
  0.4530775 0.05318268
  0.4463084 0.05333198
  0.4395593 0.05347426
  0.4328304 0.05360696
  0.4261095 0.05372765
  0.419378 0.05383674
  0.4126301 0.05393727
  0.4058788 0.05403129
  0.3991397 0.0541172
  0.3924145 0.05419264
  0.385693 0.05425677
  0.3789662 0.05431023
  0.3722301 0.05435385
  0.3654877 0.0543889
  0.3587484 0.05441621
  0.3520203 0.05443445
  0.3453012 0.05444179
  0.3385817 0.05443781
  0.331858 0.05442372
  0.3251345 0.05440006
  0.3184165 0.05436637
  0.3117065 0.05432209
  0.3050037 0.0542665
  0.2983046 0.05419889
  0.291605 0.05411935
  0.2849067 0.05402874
  0.2782172 0.05392703
  0.2715409 0.05381258
  0.2648748 0.05368395
  0.258212 0.05354098
  0.251544 0.05338384
  0.2448693 0.05321383
  0.2382064 0.05303306
  0.2315801 0.05283944
  0.2249791 0.05262603
  0.2183638 0.05239132
  0.211738 0.0521434
  0.2051445 0.0518827
  0.1985864 0.05160212
  0.1920269 0.05129825
  0.1854541 0.05097608
  0.1788994 0.050639
  0.1723848 0.05028266
  0.1658995 0.04990281
  0.1594245 0.04949899
  0.1529553 0.04907325
  0.1465299 0.04863145
  0.1402065 0.04817264
  0.1339761 0.04768306
  0.1277854 0.04716107
  0.1216978 0.04663129
  0.115821 0.0460873
  0.1101526 0.04551083
  0.1047037 0.04492282
  0.09958166 0.04431135
  0.09466888 0.04364133
  0.08978388 0.04286729
  0.08484792 0.04199136
  0.07987565 0.04103668
  0.0749366 0.04001131
  0.07003895 0.03891333
  0.06520128 0.03775334
  0.06047518 0.0365467
  0.05590591 0.03530362
  0.05152107 0.0340291
  0.04733587 0.032728
  0.0433655 0.03141109
  0.03962587 0.03009213
  0.03612656 0.02878304
  0.03287181 0.02748929
  0.02985784 0.02621469
  0.02707388 0.02496229
  0.02450513 0.02373526
  0.02213775 0.0225396
  0.0199596 0.02138145
  0.01795807 0.02026539
  0.01611968 0.01919375
  0.01443239 0.01816506
  0.01288471 0.01717691
  0.01146487 0.01622713
  0.01016116 0.01531353
  0.008962662 0.0144336
  0.007862072 0.01358201
  0.006852915 0.0127527
  0.005928173 0.01194068
  0.005080979 0.01114187
  0.004304941 0.01035297
  0.003595008 0.009571246
  0.002951224 0.008794177
  0.002374781 0.008019732
  0.001866015 0.007246392
  0.001424627 0.006473021
  0.00104971 0.005698988
  0.0007380098 0.004926591
  0.0004848936 0.004158979
  0.0002862609 0.003397845
  0.0001387641 0.002643798
  3.988665e-05 0.001896662
  -1.201335e-05 0.001155665
  -1.76497e-05 0.0004195378
  2.342952e-05 -0.0003133838
  0.0001175174 -0.00104215
  0.0002780494 -0.001761558
  0.0005207975 -0.002464686
  0.0008594181 -0.00314362
  0.001287199 -0.003793118
  0.001794158 -0.004408574
  0.002377723 -0.004985164
  0.00303641 -0.00551745
  0.003767767 -0.006006764
  0.004567314 -0.006461168
  0.005430649 -0.006889438
  0.006359428 -0.007299087
  0.007355666 -0.007699409
  0.008421036 -0.008099828
  0.009561769 -0.008502188
  0.01078669 -0.008907006
  0.01210649 -0.009315675
  0.01353328 -0.009730411
  0.01508067 -0.01015359
  0.01676509 -0.01058654
  0.0186065 -0.01103101
  0.02062953 -0.01149017
  0.02286154 -0.01196856
  0.02533073 -0.01246916
  0.0280661 -0.01299187
  0.0310975 -0.01353558
  0.03445601 -0.01409754
  0.03817916 -0.01467597
  0.04229806 -0.015275
  0.0468064 -0.01589049
  0.05169447 -0.01651581
  0.05692932 -0.01714798
  0.06244448 -0.01777265
  0.0682209 -0.01838336
  0.07422446 -0.01899032
  0.08037094 -0.0195857
  0.08662094 -0.02016037
  0.09297545 -0.02071477
  0.09941061 -0.02125828
  0.1058568 -0.02178302
  0.112334 -0.02227925
  0.1188852 -0.02276049
  0.1254677 -0.02323215
  0.1320487 -0.0236873
  0.1386396 -0.02412467
