S8025 (8%)
  0.8895573 -0.005186559
  0.8958211 -0.00486862
  0.9020899 -0.004553051
  0.9083594 -0.004239875
  0.9146218 -0.003929448
  0.9208714 -0.003623538
  0.9271132 -0.00332437
  0.933361 -0.00303165
  0.939618 -0.002741561
  0.9458671 -0.002452579
  0.9520937 -0.002169159
  0.9583002 -0.001893618
  0.9644811 -0.001620665
  0.9705998 -0.001348629
  0.9765803 -0.001082934
  0.9823141 -0.0008212198
  0.987675 -0.0005584515
  0.9925324 -0.0003056358
  0.9968042 -9.842318e-05
  1.0 0.0
