AG46c -03f
  0.03418661 0.02464133
  0.02977039 0.02297579
  0.02562848 0.02126634
  0.02180895 0.01953821
  0.0183645 0.01782391
  0.01532694 0.01616108
  0.01270103 0.01457794
  0.01046931 0.01309558
  0.008588184 0.01172177
  0.00700993 0.01045303
  0.005685695 0.009282087
  0.00457298 0.008197791
  0.003637577 0.007188208
  0.002850347 0.006242954
  0.002190896 0.005352105
  0.00164224 0.004507174
  0.001192434 0.00370156
  0.0008345133 0.002930255
  0.0005620062 0.002189625
  0.000371894 0.001478081
  0.0002616098 0.0007934927
  0.0002326056 0.0001328535
  0.0002925486 -0.0005158443
  0.0004546642 -0.001165426
  0.0007379604 -0.00181028
  0.001150164 -0.002432051
  0.00168414 -0.003014685
  0.002336896 -0.003555606
  0.003108775 -0.004069516
  0.003997387 -0.004571936
  0.005016411 -0.005068419
  0.006187054 -0.005566674
  0.007542309 -0.006073898
  0.009128258 -0.006596314
  0.01100146 -0.00714143
  0.01323066 -0.007709295
  0.01589151 -0.008298911
  0.0190682 -0.00890513
  0.02280337 -0.009513461
  0.02707307 -0.010106
  0.03178955 -0.01065682
  0.03683884 -0.01115037
  0.04213731 -0.01157971
  0.04761403 -0.01194481
  0.0532209 -0.01224953
  0.05892221 -0.01249934
  0.06469316 -0.01270026
  0.07051772 -0.01285691
  0.07638686 -0.01297428
  0.08229419 -0.01305682
  0.08823219 -0.01310887
  0.09419365 -0.01313341
  0.1001739 -0.01313303
  0.1061708 -0.01310999
  0.1121829 -0.01306634
  0.1182096 -0.01300408
  0.1242493 -0.01292517
  0.1302996 -0.01283142
  0.1363583 -0.01272407
  0.1424241 -0.01260423
  0.1484965 -0.01247289
  0.1545753 -0.01233095
  0.1606603 -0.0121793
  0.1667506 -0.01201883
  0.172845 -0.01185028
  0.1789442 -0.01167411
  0.1850512 -0.01149104
  0.1911684 -0.01130259
  0.1972956 -0.01111041
  0.2034305 -0.01091587
  0.2095704 -0.01072015
  0.2157125 -0.01052381
  0.2218544 -0.01032698
  0.2279947 -0.01012953
  0.2341335 -0.009931082
  0.2402732 -0.009731372
  0.246415 -0.009530758
  0.2525578 -0.009329672
  0.2586995 -0.009128058
  0.26484 -0.008925649
  0.2709806 -0.008722355
  0.2771216 -0.00851826
  0.2832623 -0.008313397
  0.2894026 -0.008107665
  0.2955439 -0.007901015
  0.3016868 -0.007693714
  0.3078301 -0.007486077
  0.3139724 -0.007278039
  0.3201137 -0.007069344
  0.326255 -0.006859888
  0.3323967 -0.006649751
  0.338538 -0.006438982
  0.3446789 -0.006227482
  0.3508208 -0.006015176
  0.3569644 -0.00580232
  0.3631082 -0.00558927
  0.3692503 -0.005375924
  0.375391 -0.005161856
  0.3815326 -0.004946996
  0.3876758 -0.004731808
  0.3938184 -0.004516595
  0.3999591 -0.004300952
  0.4060995 -0.004084395
  0.4122417 -0.00386712
  0.4183856 -0.003649632
  0.424529 -0.003432043
  0.4306714 -0.003214063
  0.4368139 -0.002995513
  0.4429574 -0.002776529
  0.4491015 -0.002557283
  0.4552457 -0.002337812
  0.4613896 -0.002118097
  0.4675335 -0.001898117
  0.4736772 -0.001677864
  0.4798206 -0.001457312
  0.4859637 -0.001236393
  0.4921071 -0.001015113
  0.4982511 -0.0007936972
  0.5043949 -0.0005723631
  0.5105381 -0.0003509535
  0.5166811 -0.0001291689
  0.5228249 9.300796e-05
  0.5289696 0.0003153463
  0.5351146 0.0005377034
  0.5412592 0.0007601357
  0.5474039 0.0009827003
  0.5535481 0.001205344
  0.5596913 0.001428207
  0.5658338 0.001651275
  0.5719759 0.001874094
  0.5781176 0.002096733
  0.5842583 0.002319654
  0.590397 0.002542649
  0.5965337 0.002764763
  0.6026693 0.002986495
  0.6088073 0.003209477
  0.6149489 0.00343235
  0.6210921 0.003654882
  0.627236 0.003877234
  0.6333802 0.004099504
  0.6395241 0.004321753
  0.6456664 0.004544075
  0.6518038 0.004765892
  0.6579402 0.004986737
  0.6640798 0.005208472
  0.6702217 0.005430012
  0.6763645 0.005651251
  0.6825079 0.005872319
  0.688651 0.006093224
  0.6947893 0.006313677
  0.7009201 0.00653255
  0.7070515 0.006753
  0.713188 0.006972861
  0.719327 0.007191706
  0.7254673 0.007409936
  0.7316085 0.007628082
  0.7377495 0.007846547
  0.7438893 0.008064908
  0.7500291 0.008282496
  0.7561707 0.008499308
  0.7623145 0.008715808
  0.7684586 0.008932168
  0.7746017 0.009148176
  0.7807441 0.009363667
  0.7868863 0.009578627
  0.7930285 0.009793049
  0.7991703 0.01000696
  0.805312 0.01022039
  0.8114529 0.01043318
  0.8175896 0.0106449
  0.8237169 0.01085452
  0.8298356 0.01106028
  0.8359562 0.01126134
  0.8420866 0.01145945
  0.8482197 0.01165628
  0.8543434 0.0118506
  0.8604597 0.01204024
  0.8665813 0.01222539
  0.8727105 0.01240803
  0.8788346 0.01258843
  0.8849457 0.01276402
  0.8910519 0.01293289
  0.8971647 0.0130962
  0.9032847 0.01325557
  0.9094053 0.01341117
  0.9155214 0.01356244
  0.9216321 0.01370871
  0.9277383 0.01384908
  0.9338424 0.01398292
  0.9399464 0.01411029
  0.9460509 0.01423144
  0.9521545 0.01434707
  0.9582535 0.01445791
  0.9643353 0.01456243
  0.9703629 0.01465712
  0.9762828 0.01474186
  0.9820639 0.01482232
  0.9876775 0.01490191
  0.9928251 0.01497163
  0.9971165 0.01502312
  1.000151 0.015055
