NACA 63,3-418
  0.01363292 0.02837444
  0.01252172 0.0273361
  0.01146729 0.02631038
  0.01046712 0.0252959
  0.009518756 0.0242914
  0.008620129 0.02329594
  0.007770137 0.0223091
  0.006967773 0.02133057
  0.006211964 0.02036009
  0.005501597 0.01939742
  0.004835528 0.01844233
  0.0042126 0.01749462
  0.003631812 0.01655389
  0.00309257 0.01561919
  0.002594254 0.0146895
  0.002136165 0.01376383
  0.001717567 0.01284126
  0.001337708 0.0119209
  0.0009958464 0.01100189
  0.0006915688 0.01008437
  0.000425047 0.009170121
  0.0001964456 0.008260617
  5.927402e-06 0.007356839
  -0.0001462691 0.006459377
  -0.0002597621 0.005568498
  -0.0003339651 0.004684196
  -0.0003680244 0.003806234
  -0.0003607501 0.002934164
  -0.0003105335 0.00206734
  -0.000215241 0.001204906
  -7.207164e-05 0.0003457847
  0.0001223208 -0.0005114516
  0.0003673342 -0.001369497
  0.00065878 -0.002231284
  0.0009918594 -0.003098724
  0.001361394 -0.00397236
  0.001766464 -0.004850848
  0.002208492 -0.00573223
  0.002689001 -0.006614548
  0.003209664 -0.007495884
  0.003772388 -0.008374397
  0.00437942 -0.009248358
  0.005032868 -0.01011679
  0.00573361 -0.01098032
  0.006482275 -0.01183982
  0.00727939 -0.01269613
  0.0081253 -0.01355006
  0.009020057 -0.01440238
  0.00996329 -0.01525375
  0.01095529 -0.01610465
  0.01199783 -0.01695532
  0.01309287 -0.01780612
  0.01424243 -0.01865757
  0.01544858 -0.01951031
  0.01671348 -0.02036524
  0.01803948 -0.02122346
  0.01942986 -0.02208583
  0.02088852 -0.02295312
  0.02241961 -0.02382623
  0.02402746 -0.02470621
  0.02571655 -0.02559432
  0.02749146 -0.02649202
  0.02935756 -0.02740047
  0.0313212 -0.02832047
  0.03338909 -0.02925299
  0.03556833 -0.03019919
  0.03786631 -0.03116055
  0.04029087 -0.03213866
  0.04285093 -0.03313424
  0.04555606 -0.03414765
  0.04841606 -0.03517924
  0.05144101 -0.03622949
  0.05464126 -0.03729889
  0.05802764 -0.0383874
  0.06161041 -0.03949463
  0.06539864 -0.04062004
  0.06939978 -0.04176301
  0.07361989 -0.04292158
  0.07806304 -0.04409242
  0.08273092 -0.04527187
  0.0876235 -0.04645632
  0.09273926 -0.04764207
  0.09807324 -0.04882516
  0.1036165 -0.05000163
  0.1093566 -0.05116734
  0.1152796 -0.05231688
  0.1213706 -0.05344506
  0.1276155 -0.05454764
  0.1340026 -0.05562156
  0.1405191 -0.05666444
  0.1471512 -0.05767444
  0.1538846 -0.05864981
  0.1607057 -0.0595882
  0.1676024 -0.06048764
  0.1745649 -0.06134684
  0.1815857 -0.06216495
  0.1886583 -0.06294134
  0.1957769 -0.06367569
  0.2029367 -0.06436792
