USNPS4 (smoothed)
  0.5611154 -0.007628492
  0.5683733 -0.007562998
  0.5756316 -0.007497466
  0.5828902 -0.007431911
  0.590149 -0.007366337
  0.5974077 -0.007300747
  0.6046665 -0.007235143
  0.6119252 -0.007169528
  0.6191839 -0.007103905
  0.6264427 -0.007038277
  0.6337014 -0.006972647
  0.6409601 -0.00690702
  0.6482189 -0.006841399
  0.6554775 -0.006775792
  0.662736 -0.006710207
  0.6699944 -0.006644657
  0.6772526 -0.006579152
  0.6845106 -0.006513701
  0.6917685 -0.006448318
  0.6990261 -0.006383013
  0.7062836 -0.006317801
  0.7135409 -0.006252695
  0.720798 -0.006187708
  0.7280549 -0.006122851
  0.7353117 -0.006058131
  0.7425683 -0.005993554
  0.7498249 -0.005929124
  0.7570814 -0.005864847
  0.7643379 -0.005800726
  0.7715945 -0.00573676
  0.7788511 -0.005672947
  0.7861075 -0.005609287
  0.7933636 -0.005545781
  0.800619 -0.005482453
  0.8078737 -0.005419358
  0.8151277 -0.005356551
  0.8223812 -0.005294084
  0.8296347 -0.005231994
  0.8368885 -0.005170235
  0.8441426 -0.005108739
  0.8513965 -0.005047437
  0.8586495 -0.004986277
  0.8659006 -0.004925313
  0.8731489 -0.004864664
  0.8803938 -0.004804449
  0.8876349 -0.004744765
  0.8948711 -0.004685574
  0.9021 -0.004626784
  0.9093176 -0.004568315
  0.9165178 -0.004510167
  0.9236917 -0.004452499
  0.9308269 -0.004395513
  0.9379076 -0.004339399
  0.9449098 -0.004284294
  0.9517994 -0.004230384
  0.9585334 -0.004177884
  0.9650566 -0.004127025
  0.9713067 -0.004078132
  0.9772215 -0.004031725
  0.9827433 -0.003988352
  0.9878346 -0.003948052
  0.99248 -0.003910497
  0.9966872 -0.003875978
  1.0 -0.003849
