 JN-153 AIRFOIL
  0.365809 0.1686608
  0.359908 0.1689635
  0.3539566 0.1691974
  0.347954 0.169363
  0.3419031 0.1694615
  0.3358113 0.1694939
  0.3296881 0.16946
  0.3235417 0.1693592
  0.3173786 0.1691914
  0.3112038 0.1689566
  0.3050234 0.168655
  0.2988454 0.1682874
  0.2926785 0.1678537
  0.2865298 0.1673527
  0.280403 0.1667831
  0.2742993 0.1661438
  0.2682192 0.1654342
  0.2621646 0.1646539
  0.2561375 0.1638023
  0.250138 0.162878
  0.2441619 0.161879
  0.2382016 0.1608035
  0.2322514 0.1596535
  0.2263123 0.1584328
  0.220392 0.1571454
  0.214499 0.1557923
  0.2086375 0.1543731
  0.2028075 0.1528873
  0.1970089 0.1513362
  0.1912451 0.1497223
  0.1855224 0.1480487
  0.1798477 0.1463176
  0.174226 0.1445307
  0.1686613 0.1426897
  0.1631583 0.1407972
  0.1577239 0.1388565
  0.152366 0.1368706
  0.1470899 0.13484
  0.1418967 0.1327643
  0.136785 0.1306443
  0.1317563 0.1284847
  0.126817 0.1262921
  0.1219768 0.1240716
  0.1172425 0.1218244
  0.1126168 0.1195506
  0.1080994 0.1172502
  0.1036901 0.1149242
  0.09938939 0.112574
  0.09519772 0.1102014
  0.0911147 0.107808
  0.08713899 0.105395
  0.08326868 0.1029655
  0.07950331 0.1005244
  0.07584419 0.09807797
  0.072294 0.09563143
  0.06885493 0.09318887
  0.06552781 0.09075373
  0.06231254 0.08832929
  0.05920883 0.08591913
  0.05621635 0.08352703
  0.05333473 0.08115647
  0.05056337 0.07881014
  0.0479008 0.07649009
  0.04534481 0.07419798
  0.0428926 0.0719357
  0.04054149 0.06970552
  0.03828893 0.06750973
  0.03613268 0.06535009
  0.03407094 0.06322708
  0.03210124 0.06114049
  0.03022057 0.05908971
  0.0284253 0.0570743
  0.02671152 0.05509451
  0.02507566 0.05315073
  0.02351435 0.05124339
  0.0220248 0.04937253
  0.02060486 0.04753749
  0.01925223 0.04573735
  0.01796441 0.04397109
  0.01673885 0.04223761
  0.01557287 0.0405361
  0.01446384 0.03886584
  0.01340926 0.03722609
  0.01240669 0.03561613
  0.011454 0.03403516
  0.01054955 0.03248224
  0.009691791 0.03095653
  0.008879178 0.02945727
  0.008110193 0.02798374
  0.007383362 0.02653541
  0.006697206 0.02511182
  0.006050161 0.02371226
  0.005440631 0.0223358
  0.00486704 0.02098136
  0.004327928 0.01964766
  0.003822251 0.01833332
  0.00334929 0.01703764
  0.002908492 0.01576056
  0.002499359 0.01450253
  0.002121424 0.01326437
  0.00177489 0.01204746
  0.00146012 0.01085279
  0.001177079 0.009680431
  0.0009254746 0.008529799
  0.0007048835 0.00739983
  0.0005148457 0.006289131
  0.0003549337 0.005196084
  0.0002248033 0.004118916
  0.0001242331 0.003055742
  5.315683e-05 0.002004586
  1.169318e-05 0.0009633906
  1.76125e-07 -6.999671e-05
  1.922691e-05 -0.001097715
  6.983733e-05 -0.002121225
  0.0001531746 -0.003141042
  0.0002704413 -0.004156788
  0.0004254933 -0.005166066
  0.0006282571 -0.006163637
  0.0008894025 -0.007144419
  0.001219621 -0.00810386
  0.001629612 -0.009037503
  0.002125807 -0.009933494
  0.002710908 -0.01077265
  0.003388807 -0.01153519
  0.004164625 -0.01220141
  0.005034211 -0.01277105
  0.005983943 -0.01326057
  0.00699796 -0.01368725
  0.008057219 -0.01406955
  0.009147059 -0.01442143
  0.01026707 -0.01474604
  0.01141877 -0.01504568
  0.012604 -0.01532324
  0.01382506 -0.01558224
  0.01508456 -0.01582627
  0.01638469 -0.01605671
  0.01772747 -0.0162743
  0.01911492 -0.01647998
  0.020549 -0.01667489
  0.02203149 -0.01686042
  0.02356435 -0.0170377
  0.02515052 -0.01720666
  0.0267934 -0.01736714
  0.0284967 -0.01751902
  0.03026461 -0.01766228
  0.03210187 -0.01779702
  0.03401372 -0.01792325
  0.03600587 -0.01804086
  0.03808452 -0.01814982
  0.04025641 -0.01825024
  0.04252877 -0.01834241
  0.04490945 -0.01842654
  0.04740712 -0.01850223
  0.05003126 -0.01856895
  0.05279228 -0.01862624
  0.05570155 -0.01867376
  0.05877156 -0.01871092
  0.06201589 -0.01873656
  0.06544917 -0.01874939
  0.06908718 -0.01874809
  0.07294709 -0.0187313
  0.07704698 -0.0186978
  0.08140489 -0.01864658
  0.08603808 -0.01857694
  0.09096221 -0.01848776
  0.09619052 -0.01837703
  0.1017335 -0.01824274
  0.1075994 -0.01808308
  0.113792 -0.01789659
  0.1203087 -0.01768239
  0.1271407 -0.01743991
  0.1342731 -0.0171685
  0.1416873 -0.01686796
  0.1493626 -0.01653897
  0.1572741 -0.01618335
  0.1653922 -0.0158035
  0.1736845 -0.01540086
  0.1821192 -0.01497664
  0.1906672 -0.01453166
  0.1993056 -0.01406577
  0.2080199 -0.01357858
  0.2168001 -0.01307168
  0.2256293 -0.01254843
  0.2344827 -0.01201146
  0.243336 -0.01145898
  0.2521747 -0.01088778
  0.2609953 -0.01029396
  0.2698082 -0.009672555
  0.278639 -0.009017632
  0.2875222 -0.008328054
  0.2964822 -0.007608477
  0.3055251 -0.006865133
  0.314643 -0.006103529
  0.3238239 -0.005328404
  0.3330541 -0.004544639
  0.342319 -0.003756089
  0.3516031 -0.002966175
  0.3608908 -0.002178371
  0.3701694 -0.001396004
  0.379433 -0.0006218371
  0.3886827 0.0001422344
  0.397922 0.0008959849
  0.4071517 0.001639468
  0.4163698 0.002372433
  0.4255732 0.003094112
  0.4347595 0.003803664
  0.4439279 0.004500359
  0.4530783 0.005183442
  0.4622105 0.005852106
  0.4713242 0.006505534
  0.4804192 0.007142915
  0.4894978 0.007763564
  0.498565 0.008366978
  0.5076271 0.008953419
  0.5166874 0.009524005
  0.5257433 0.01007959
  0.5347872 0.01062017
  0.5438122 0.01114402
  0.5528165 0.0116494
  0.5618038 0.01213504
  0.5707799 0.01260096
  0.579749 0.01304749
  0.588713 0.01347486
  0.5976717 0.01388323
  0.6066238 0.01427276
  0.6155666 0.01464356
  0.624497 0.01499536
  0.6334122 0.01532727
  0.6423103 0.0156384
  0.6511905 0.01592795
  0.6600534 0.01619526
  0.6689017 0.01643976
  0.6777402 0.01666105
  0.6865719 0.01685967
  0.6953942 0.01703638
  0.7041987 0.01719166
  0.7129757 0.01732413
  0.7217236 0.01743147
  0.7304504 0.01751164
  0.7391674 0.01756502
  0.7478768 0.01759369
  0.7565677 0.01759959
  0.7652233 0.01758189
  0.7738358 0.01753747
  0.7824106 0.01746338
  0.7909585 0.01735938
  0.7994811 0.01722742
  0.8079669 0.0170694
  0.8163993 0.01688429
  0.8247699 0.01666926
  0.8330804 0.01642189
  0.8413341 0.01614236
  0.8495269 0.0158319
  0.8576482 0.0154916
  0.8656838 0.01512164
  0.8736195 0.01472228
  0.8814417 0.01429311
  0.8891399 0.0138331
  0.8967066 0.01334175
  0.9041316 0.01282039
  0.9113986 0.01227144
  0.9184895 0.01169562
  0.9253931 0.01109165
  0.9321058 0.01045937
  0.9386215 0.009802596
  0.944927 0.009126065
  0.9510091 0.008429323
  0.956863 0.007709333
  0.9624917 0.006962048
  0.9679048 0.006182316
  0.9731158 0.005368348
  0.9781351 0.00452368
  0.9829683 0.003651894
  0.9876197 0.002755145
  0.9920936 0.00183095
  0.9963978 0.0008716234
