  SD7084 (9.6%)
  0.8892042 -0.003885947
  0.8954648 -0.003660051
  0.9017235 -0.003437512
  0.9079811 -0.003218116
  0.9142391 -0.003001623
  0.9204997 -0.002787777
  0.9267658 -0.002576261
  0.9330385 -0.002366364
  0.9393135 -0.002157287
  0.9455794 -0.001948446
  0.9518187 -0.001739435
  0.958009 -0.00152799
  0.964129 -0.001309304
  0.9701604 -0.001078765
  0.9760853 -0.0008347305
  0.9818406 -0.0005909411
  0.98729 -0.0003668328
  0.9922853 -0.000182271
  0.9966936 -5.811754e-05
  1.00001 0.0
