Dayton-Wright T-1
  0.03287311 0.01158653
  0.03521725 0.01091308
  0.03769244 0.01023772
  0.04030545 0.009563719
  0.04306312 0.008894891
  0.04597284 0.008235559
  0.04904352 0.007590449
  0.05228709 0.006964362
  0.05572021 0.006359608
  0.05936197 0.005776764
  0.06323222 0.005215976
  0.06735046 0.004676684
  0.07173349 0.004157215
  0.07639167 0.003654321
  0.08132502 0.003166962
  0.08652438 0.002700569
  0.0919735 0.002261137
  0.09765249 0.001853926
  0.1035436 0.001482915
  0.1096346 0.001150744
  0.1159116 0.0008591871
  0.1223576 0.0006091453
  0.1289532 0.0004005162
  0.1356776 0.0002321322
  0.142511 0.0001017843
  0.1494355 6.321433e-06
  0.1564367 -5.760209e-05
  0.1635038 -9.083601e-05
  0.1706272 -9.353273e-05
  0.1777989 -6.604083e-05
  0.1850127 -8.861895e-06
  0.1922647 7.739787e-05
  0.199553 0.0001920785
  0.2068785 0.0003343711
  0.2142429 0.0005027713
  0.221648 0.0006955169
  0.2290946 0.0009107726
  0.2365829 0.001146615
  0.2441123 0.001401019
  0.2516813 0.001671847
  0.2592876 0.001956841
  0.2669278 0.002253618
  0.2745977 0.00255967
  0.2822919 0.002872371
  0.290004 0.003188989
  0.2977264 0.003506702
  0.3054508 0.003822666
  0.3131684 0.004134419
  0.3208717 0.004439798
  0.3285544 0.004736735
  0.3362116 0.005023273
  0.3438399 0.005297558
  0.3514369 0.005557846
  0.3590018 0.005802487
  0.3665346 0.006029921
  0.3740368 0.006238658
  0.3815107 0.006427263
  0.3889594 0.006594336
  0.3963874 0.006738492
  0.4037996 0.006858389
  0.4112018 0.006953852
  0.4185993 0.007025787
  0.4259969 0.007075077
  0.433399 0.007102541
  0.4408095 0.007108951
  0.4482317 0.00709504
  0.4556685 0.007061513
  0.4631226 0.007009058
  0.4705958 0.00693835
  0.4780898 0.006850065
  0.4856056 0.006744884
  0.4931439 0.0066235
  0.5007046 0.006486628
  0.5082872 0.006334956
  0.515891 0.006169052
  0.5235148 0.005989479
  0.5311572 0.005796827
  0.5388165 0.005591712
  0.5464905 0.005374781
  0.554177 0.005146708
  0.5618733 0.0049082
  0.5695763 0.004659993
  0.5772828 0.004402851
  0.5849891 0.004137567
  0.5926914 0.003864959
  0.6003854 0.003585868
  0.6080669 0.003301485
  0.6157319 0.003014134
  0.6233772 0.002726334
  0.6310004 0.002440538
  0.6386 0.002159129
  0.6461752 0.001884417
  0.6537259 0.001618636
  0.6612527 0.001363956
  0.6687568 0.001122483
  0.6762402 0.0008962744
  0.6837054 0.0006873468
  0.6911554 0.0004976925
  0.6985941 0.0003292953
  0.7060255 0.0001838751
  0.7134541 6.123514e-05
  0.720884 -3.961344e-05
  0.7283187 -0.0001196118
  0.7357615 -0.0001796603
  0.7432154 -0.0002206273
  0.7506829 -0.0002433578
  0.7581663 -0.0002486809
  0.7656674 -0.0002374165
  0.7731878 -0.0002103823
  0.7807286 -0.000168399
  0.7882906 -0.0001122967
  0.7958741 -4.291885e-05
  0.803479 3.88674e-05
  0.8111048 0.0001320236
  0.8187503 0.0002353129
  0.8264135 0.0003474504
  0.8340916 0.00046711
  0.8417809 0.0005929244
  0.8494767 0.000723488
  0.8571736 0.000857362
  0.8648654 0.0009930827
  0.8725451 0.001129172
  0.880205 0.00126415
  0.8878368 0.00139655
  0.8954317 0.001524939
  0.9029807 0.001648007
  0.9104727 0.00176756
  0.9178892 0.00188919
  0.9252033 0.002018213
  0.9323823 0.002159213
  0.9393912 0.002315849
  0.9461963 0.00249072
  0.9527681 0.002685275
  0.9590852 0.002898324
  0.9651367 0.003126482
  0.9709215 0.003366607
  0.9764453 0.003615996
  0.9817183 0.003872389
  0.9867535 0.004133927
  0.9915649 0.004399105
  0.9961672 0.004666716
  1.0 0.0049
