  SD7062 (14%)
  0.001181368 0.007679902
  0.0009313817 0.006723041
  0.0007059204 0.005778118
  0.0005072459 0.004845454
  0.000337435 0.003925049
  0.0001983419 0.003016618
  9.169084e-05 0.002119652
  1.915726e-05 0.00123347
  -1.755627e-05 0.0003572465
  -1.6648e-05 -0.0005099611
  2.385593e-05 -0.001369207
  0.0001061799 -0.002221654
  0.0002328878 -0.003068583
  0.0004066824 -0.00391123
  0.0006282123 -0.004749383
  0.0008973084 -0.005581866
  0.001214199 -0.006407185
  0.001579484 -0.007223483
  0.001994105 -0.008028475
  0.002459323 -0.008819375
  0.002976695 -0.009592792
  0.003548044 -0.01034462
  0.004175418 -0.01106989
  0.004860835 -0.01176362
  0.005605301 -0.01242554
  0.006409439 -0.01305732
  0.007273797 -0.01366085
  0.008198774 -0.01423829
  0.009184504 -0.01479217
  0.01023069 -0.01532551
  0.01133641 -0.01584194
  0.01249976 -0.01634588
  0.01371752 -0.01684276
  0.01498508 -0.0173388
  0.01630183 -0.01783652
  0.01767066 -0.01833546
  0.01909469 -0.01883511
  0.02057728 -0.0193349
  0.02212207 -0.01983428
  0.02373304 -0.0203327
  0.02541472 -0.02082968
  0.02717235 -0.02132488
  0.02901224 -0.02181817
  0.03094223 -0.02230969
  0.03297103 -0.02279966
  0.03510765 -0.02328815
  0.03736207 -0.02377526
  0.03974527 -0.02426121
  0.0422692 -0.02474631
  0.04494663 -0.02523104
  0.0477907 -0.02571611
  0.05081428 -0.02620256
  0.0540291 -0.02669132
  0.05744708 -0.02718113
  0.06107899 -0.02766964
  0.06493334 -0.02815416
  0.06901608 -0.0286318
  0.07333105 -0.02909977
  0.07788196 -0.02955576
  0.082675 -0.0299979
  0.08771589 -0.03042371
  0.09300621 -0.03083062
  0.09854238 -0.03121628
  0.1043153 -0.03157885
  0.1103108 -0.03191721
  0.1165111 -0.03222987
  0.1228954 -0.03251427
  0.1294413 -0.03276835
  0.1361266 -0.03299083
  0.1429327 -0.03318122
  0.1498465 -0.03333967
  0.1568587 -0.03346642
  0.1639602 -0.03356191
  0.1711421 -0.0336269
  0.1783954 -0.0336624
  0.1857122 -0.03366971
  0.1930852 -0.03364991
  0.2005078 -0.03360383
  0.2079737 -0.03353239
  0.2154777 -0.03343661
  0.2230149 -0.03331763
  0.2305815 -0.03317663
  0.2381744 -0.03301444
  0.245791 -0.03283168
  0.253429 -0.03262897
  0.2610865 -0.03240699
  0.2687621 -0.0321664
  0.2764547 -0.03190788
  0.2841636 -0.03163205
  0.2918882 -0.03133947
  0.2996276 -0.03103072
  0.3073808 -0.0307064
  0.3151469 -0.03036713
  0.3229246 -0.03001355
  0.3307127 -0.02964622
  0.3385101 -0.0292655
  0.3463161 -0.02887174
  0.3541305 -0.02846525
  0.3619533 -0.02804636
  0.369785 -0.02761533
  0.3776264 -0.02717246
  0.3854788 -0.02671816
  0.3933428 -0.02625297
  0.4012192 -0.02577747
  0.4091082 -0.02529222
  0.4170097 -0.02479786
  0.4249234 -0.024295
  0.4328485 -0.0237843
  0.4407843 -0.02326629
  0.4487301 -0.02274147
  0.4566857 -0.02221032
  0.4646509 -0.02167332
  0.4726258 -0.02113091
  0.480611 -0.02058354
  0.4886069 -0.02003167
  0.4966141 -0.01947579
  0.5046324 -0.01891647
  0.5126611 -0.01835432
  0.5206988 -0.01778998
  0.5287436 -0.01722416
  0.536793 -0.0166576
  0.5448438 -0.01609104
  0.5528931 -0.01552506
  0.5609385 -0.01496021
  0.5689779 -0.01439699
  0.57701 -0.01383587
  0.5850337 -0.01327728
  0.5930486 -0.01272162
  0.6010546 -0.01216928
  0.6090518 -0.01162072
  0.6170403 -0.01107637
  0.6250203 -0.01053666
  0.6329917 -0.01000203
  0.6409547 -0.009472921
  0.6489095 -0.008949746
  0.6568561 -0.00843291
  0.6647945 -0.007922798
  0.6727248 -0.007419797
  0.6806468 -0.006924295
  0.6885602 -0.006436683
  0.6964649 -0.00595735
  0.7043605 -0.005486701
  0.7122468 -0.005025184
  0.7201234 -0.004573255
  0.7279904 -0.004131354
  0.735848 -0.003699914
  0.7436963 -0.003279352
  0.7515359 -0.002870078
  0.759367 -0.002472447
  0.7671898 -0.002086775
  0.775004 -0.001713396
  0.7828088 -0.001352655
  0.7906032 -0.001004908
  0.7983857 -0.0006705223
  0.8061545 -0.000350016
  0.8139078 -4.411281e-05
  0.821644 0.0002464743
  0.8293616 0.0005210599
  0.8370593 0.0007789854
  0.8447359 0.001019616
  0.8523899 0.001242293
  0.8600187 0.001446327
  0.8676181 0.001631034
  0.8751826 0.001795764
  0.8827059 0.001939908
  0.8901801 0.002062505
  0.8975965 0.002162092
  0.9049449 0.002237338
  0.9122145 0.002287122
  0.9193941 0.002310567
  0.9264709 0.002306947
  0.9334287 0.002275786
  0.9402486 0.002217042
  0.9469106 0.002131157
  0.9533942 0.002018788
  0.959675 0.001880776
  0.9657268 0.001718727
  0.9715259 0.001534836
  0.9770549 0.001329149
  0.982304 0.001100295
  0.9872716 0.0008482282
  0.9919621 0.000573251
  0.996384 0.0002754802
  1.00001 0.0
