 NLR-7301 AIRFOIL
  0.603219 -0.05326279
  0.6123852 -0.05152966
  0.6216138 -0.04973838
  0.6309168 -0.04788871
  0.6403053 -0.04598059
  0.6497889 -0.04401418
  0.6593761 -0.0419905
  0.6690698 -0.03991379
  0.678862 -0.03779161
  0.6887316 -0.03563494
  0.6986431 -0.03345841
  0.7085473 -0.03127993
  0.7183906 -0.02911791
  0.7281275 -0.02698847
  0.7377232 -0.02490484
  0.7471537 -0.02287722
  0.7564043 -0.02091315
  0.765468 -0.01901929
  0.7743435 -0.01720112
  0.7830331 -0.01546246
  0.7915425 -0.01380576
  0.7998791 -0.01223243
  0.8080518 -0.01074303
  0.8160692 -0.009337321
  0.823939 -0.008014853
  0.8316684 -0.006775078
  0.8392637 -0.005617375
  0.846731 -0.004541054
  0.8540757 -0.003545371
  0.8613025 -0.002629527
  0.8684157 -0.001792664
  0.8754196 -0.001033876
  0.8823182 -0.0003522322
  0.8891156 0.0002532135
  0.8958156 0.0007834045
  0.9024219 0.001239286
  0.9089379 0.001622347
  0.9153653 0.00193476
  0.9217044 0.002178629
  0.9279545 0.002355988
  0.9341141 0.002468357
  0.9401819 0.002516801
  0.9461574 0.002502484
  0.9520409 0.00242667
  0.9578325 0.002291132
  0.9635317 0.002098323
  0.9691372 0.001850787
  0.9746467 0.001551131
  0.9800577 0.001202138
  0.9853672 0.0008070964
  0.990572 0.0003694684
  0.9956693 -0.0001073409
  1.0 -0.00055
