 CHEN AIRFOIL
  0.00189958 0.00867262
  0.00161627 0.007596172
  0.001369217 0.006548737
  0.001147395 0.00553048
  0.0009417775 0.004542354
  0.0007449723 0.00358569
  0.0005509823 0.002661881
  0.000355041 0.00177216
  0.0001625721 0.0009160897
  1.168147e-05 8.545854e-05
  -6.523396e-05 -0.0007332993
  -7.460204e-05 -0.001550942
  -3.235837e-05 -0.002374259
  4.717623e-05 -0.003207494
  0.0001495655 -0.004052399
  0.0002647238 -0.004907357
  0.0004022799 -0.005766792
  0.0005774127 -0.006624552
  0.0008064944 -0.007474684
  0.001107401 -0.008311451
  0.001497315 -0.009129419
  0.0019779 -0.009923778
  0.002544212 -0.01068902
  0.00319068 -0.01141823
  0.003911679 -0.01210404
  0.004704928 -0.01274238
  0.005569018 -0.01332994
  0.006502465 -0.013863
  0.007504344 -0.01433996
  0.008574442 -0.01476346
  0.009711943 -0.01513708
  0.01091485 -0.01546532
  0.01218233 -0.01575246
  0.01351892 -0.01600077
  0.01492995 -0.01621327
  0.01642057 -0.01639454
  0.017995 -0.0165514
  0.01965688 -0.0166878
  0.02141098 -0.01679824
  0.02326306 -0.01687484
  0.02522063 -0.01690797
  0.02729464 -0.01688572
  0.02950186 -0.01679841
  0.03186382 -0.01664285
  0.03440476 -0.01641757
  0.03714925 -0.01612414
  0.04011661 -0.0157677
  0.04331731 -0.01534324
  0.04675622 -0.01483975
  0.05043635 -0.014245
  0.05436771 -0.01354433
  0.05857337 -0.01272495
  0.06307511 -0.01177894
  0.0678801 -0.01070444
  0.07296753 -0.009512326
  0.07829384 -0.008238999
  0.08382339 -0.006936373
  0.0895538 -0.005656529
  0.09551234 -0.004406066
  0.1017161 -0.00314896
  0.1081556 -0.001844134
  0.1147843 -0.0004654641
  0.121528 0.0009724193
  0.1282883 0.002442656
  0.1349628 0.003905515
  0.1414982 0.005308709
  0.1479079 0.00661576
  0.1542535 0.007806906
  0.1606088 0.008892422
  0.1670223 0.009890017
  0.1735148 0.01081104
  0.1800769 0.01166189
  0.1866775 0.01244055
  0.1932887 0.01314183
  0.1998917 0.01376256
  0.2064783 0.01430125
  0.2130494 0.01475701
  0.219613 0.01512795
  0.226182 0.0154116
  0.2327739 0.01560634
  0.2394076 0.0157158
  0.2460988 0.01574447
  0.2528596 0.01569635
  0.2596982 0.01557531
  0.2666184 0.01538538
