SARATOV AIRFOIL
  0.4112286 0.1245317
  0.4050307 0.1248287
  0.398855 0.1250299
  0.3926858 0.1251332
  0.386509 0.1251419
  0.3803118 0.1250595
  0.3740829 0.1248888
  0.3678124 0.124632
  0.3614913 0.1242909
  0.3551122 0.1238673
  0.348669 0.1233627
  0.3421574 0.1227788
  0.3355747 0.1221174
  0.3289208 0.1213809
  0.3221981 0.1205721
  0.3154123 0.1196946
  0.3085723 0.1187531
  0.3016913 0.1177533
  0.2947859 0.1167015
  0.2878744 0.1156011
  0.2809727 0.1144538
  0.2740937 0.1132611
  0.2672473 0.112024
  0.2604399 0.1107437
  0.2536751 0.1094206
  0.2469534 0.1080547
  0.2402728 0.1066455
  0.2336287 0.105192
  0.2270142 0.1036923
  0.22042 0.102144
  0.2138347 0.1005435
  0.2072441 0.09888649
  0.2006315 0.0971672
  0.1939765 0.09537967
  0.1872582 0.09352408
  0.1804633 0.09160497
  0.1735884 0.08963028
  0.1666422 0.08761228
  0.1596476 0.0855682
  0.1526422 0.08352026
  0.1456774 0.08149359
  0.1388102 0.07949918
  0.1320813 0.0775329
  0.125509 0.07558583
  0.1190943 0.07364586
  0.112825 0.07169863
  0.1066803 0.06972785
  0.1006324 0.06771516
  0.09464822 0.06563983
  0.08870223 0.06348329
  0.08279263 0.06123481
  0.07694252 0.05889361
  0.07119723 0.05647041
  0.06561741 0.05398737
  0.06026766 0.05147526
  0.05520375 0.04896824
  0.05046313 0.04649806
  0.04606324 0.04409052
  0.0420055 0.04176391
  0.03826996 0.03952344
  0.03482633 0.03736598
  0.0316429 0.03528476
  0.02869015 0.03327172
  0.02594203 0.03131871
  0.02337509 0.02941698
  0.02096486 0.02755332
  0.01871129 0.02573433
  0.01663076 0.02398519
  0.01473323 0.02233012
  0.01301378 0.02078155
  0.01145757 0.0193401
  0.01005783 0.01800207
  0.008804237 0.01675747
  0.007680746 0.0155932
  0.00667166 0.01449699
  0.005763425 0.01345841
  0.004944828 0.01246884
  0.004206738 0.01152121
  0.00354175 0.01060972
  0.002943865 0.009729498
  0.002408226 0.008876484
  0.001930916 0.008047208
  0.001508799 0.007238681
  0.001139391 0.006448292
  0.0008207801 0.005673728
  0.0005515543 0.004912912
  0.0003307577 0.004163948
  0.0001578618 0.00342508
  3.275222e-05 0.002694649
  -4.427031e-05 0.001971064
  -7.247253e-05 0.001252761
  -5.065483e-05 0.0005381745
  2.289349e-05 -0.0001743011
  0.0001491871 -0.0008862069
  0.0003272949 -0.001598806
  0.0005565114 -0.002313247
  0.0008366059 -0.003030611
  0.001167797 -0.003751931
  0.001550744 -0.004478203
  0.001986548 -0.005210402
  0.002476774 -0.005949477
  0.003023479 -0.006696357
  0.003629254 -0.007451938
  0.004297277 -0.00821706
  0.005031374 -0.008992467
  0.005836081 -0.00977873
  0.006716687 -0.01057613
  0.007679229 -0.01138444
  0.00873036 -0.01220258
  0.009876945 -0.01302803
  0.01112511 -0.0138559
  0.01247819 -0.01467738
  0.01393598 -0.01547963
  0.01550365 -0.01625285
  0.01718744 -0.01698823
  0.01899206 -0.01767739
  0.02092141 -0.01831373
  0.02298069 -0.01889404
  0.02518086 -0.01942005
  0.02754399 -0.01989673
  0.03010056 -0.02032373
  0.03288994 -0.02069917
  0.03596432 -0.02102124
  0.03939342 -0.02128903
  0.04326711 -0.02150435
  0.04770028 -0.02167698
  0.05281339 -0.02183362
  0.05861972 -0.0219828
  0.06496194 -0.02209095
  0.07151273 -0.02211643
  0.0779228 -0.02202953
  0.08399738 -0.02182028
  0.08970357 -0.02148981
  0.09509585 -0.02103994
  0.1002627 -0.02046729
  0.1053047 -0.01976522
  0.1103136 -0.01893622
  0.1153643 -0.01798033
  0.1205238 -0.01689307
  0.1258573 -0.0156665
  0.1314314 -0.01429031
  0.1373133 -0.01275394
  0.1435629 -0.01105129
  0.1502092 -0.009190998
  0.1572094 -0.007206198
  0.1644437 -0.005139345
  0.1716651 -0.003067643
  0.1788782 -0.000997307
  0.1861216 0.001075208
  0.1932494 0.003100834
  0.20024 0.005067104
  0.2071152 0.006977686
  0.2139015 0.008848529
  0.2206194 0.01069541
  0.2272837 0.01253192
  0.2339046 0.01436998
  0.2404885 0.01622015
  0.2470381 0.01809179
  0.2535528 0.01999312
  0.260029 0.02193125
  0.2664602 0.02391206
  0.2728373 0.02594018
  0.2791491 0.02801885
  0.2853829 0.03014991
  0.2915246 0.03233371
  0.29756 0.03456919
  0.3034751 0.03685307
  0.3092603 0.03916745
  0.3149124 0.04148624
  0.3204323 0.04378713
  0.3258243 0.0460517
  0.3310946 0.0482649
  0.3362512 0.05041453
  0.3413029 0.05249074
  0.3462591 0.0544855
  0.3511294 0.05639222
  0.3559236 0.05820538
  0.3606514 0.05992023
  0.3653225 0.0615325
  0.3699465 0.06303823
  0.3745332 0.06443352
  0.3790923 0.06571439
  0.3836336 0.06687663
  0.3881672 0.06791555
  0.3927039 0.06882592
  0.3972546 0.06960165
  0.4018316 0.07023585
  0.4064465 0.07072728
  0.4111098 0.07108252
  0.4158319 0.07130768
  0.420623 0.07140797
  0.4254936 0.07138794
  0.4304544 0.07125164
  0.4355167 0.07100278
  0.440692 0.0706449
  0.4459923 0.07018159
  0.4514299 0.06961674
  0.4570175 0.06895478
  0.4627677 0.06820111
  0.4686928 0.06736253
  0.4748036 0.06644783
  0.4811087 0.06546853
  0.4876128 0.06443971
  0.4943144 0.06338092
  0.5012031 0.062317
  0.5082588 0.06127017
  0.5154574 0.06024566
  0.5227723 0.05924532
  0.5301753 0.05827015
  0.5376384 0.05732014
  0.5451354 0.05639429
  0.5526398 0.05549101
  0.5601375 0.05460685
  0.5676148 0.05373816
  0.5750606 0.05288096
  0.5824705 0.05203056
  0.5898446 0.05118187
  0.5971876 0.05032945
  0.6045079 0.04946775
  0.6118152 0.04859447
  0.619118 0.04770994
