FX 66-H-60
  0.1101809 -0.01067432
  0.1160435 -0.01083202
  0.1219053 -0.01099071
  0.1277659 -0.01115115
  0.133625 -0.01131387
  0.1394824 -0.01147924
  0.1453385 -0.01164765
  0.1511943 -0.01181945
  0.1570511 -0.01199439
  0.1629097 -0.01217202
  0.1687704 -0.01235185
  0.1746331 -0.01253338
  0.1804974 -0.01271614
  0.1863627 -0.01289972
  0.1922288 -0.01308366
  0.1980952 -0.01326756
  0.2039617 -0.01345115
  0.2098281 -0.0136344
  0.2156944 -0.0138173
  0.2215607 -0.01399982
  0.2274272 -0.01418197
  0.233294 -0.01436378
  0.2391612 -0.01454531
  0.2450286 -0.01472658
  0.2508957 -0.01490763
  0.2567621 -0.01508838
  0.2626272 -0.01526843
  0.2684907 -0.01544739
  0.2743527 -0.01562482
  0.2802132 -0.01580034
  0.2860727 -0.01597364
  0.2919316 -0.01614467
  0.2977903 -0.01631337
  0.3036492 -0.01647969
  0.3095084 -0.01664358
  0.3153682 -0.01680503
  0.3212287 -0.0169641
  0.3270897 -0.01712089
  0.3329511 -0.01727548
  0.3388125 -0.01742793
  0.3446734 -0.01757827
  0.3505332 -0.01772623
  0.3563916 -0.01787144
  0.3622487 -0.01801356
  0.3681045 -0.01815225
  0.3739596 -0.01828718
  0.3798145 -0.01841825
  0.3856696 -0.01854553
  0.3915251 -0.01866911
  0.3973812 -0.01878906
  0.4032379 -0.01890545
  0.4090948 -0.01901833
  0.4149518 -0.01912764
  0.4208087 -0.01923334
  0.4266653 -0.01933539
  0.4325217 -0.01943373
  0.438378 -0.01952832
  0.4442342 -0.01961913
  0.4500905 -0.01970617
  0.4559468 -0.01978942
  0.4618032 -0.01986888
  0.4676596 -0.01994454
  0.4735159 -0.02001635
  0.4793719 -0.02008422
  0.4852276 -0.02014802
  0.4910828 -0.02020761
  0.4969375 -0.02026286
  0.5027916 -0.02031366
  0.5086451 -0.02035989
  0.5144982 -0.02040147
  0.5203507 -0.02043829
  0.5262031 -0.02047027
  0.5320554 -0.02049733
  0.5379081 -0.02051938
  0.5437613 -0.02053655
  0.5496153 -0.02054896
  0.55547 -0.02055678
  0.5613252 -0.02056015
  0.5671806 -0.02055923
  0.5730357 -0.02055402
  0.57889 -0.02054427
  0.5847434 -0.02052974
  0.5905955 -0.02051017
  0.5964466 -0.0204853
  0.6022968 -0.02045491
  0.6081463 -0.0204189
  0.6139954 -0.02037722
  0.6198443 -0.02032985
  0.6256934 -0.02027674
  0.6315428 -0.02021786
  0.6373927 -0.02015322
  0.6432433 -0.0200829
  0.6490944 -0.02000699
  0.6549457 -0.0199256
  0.6607967 -0.01983883
  0.6666468 -0.01974668
  0.6724954 -0.01964885
  0.6783421 -0.01954494
  0.6841871 -0.01943455
  0.6900305 -0.01931727
  0.6958732 -0.01919272
  0.7017156 -0.01906081
  0.7075584 -0.01892158
  0.7134014 -0.01877509
  0.7192444 -0.0186214
  0.7250867 -0.01846054
  0.7309273 -0.01829211
  0.7367654 -0.0181154
  0.7426003 -0.0179297
  0.7484316 -0.01773432
  0.7542589 -0.01752852
  0.7600821 -0.0173114
  0.7659011 -0.01708195
  0.7717158 -0.01683916
  0.7775263 -0.01658203
  0.7833329 -0.01630959
  0.7891356 -0.01602105
  0.7949347 -0.01571569
  0.8007305 -0.01539277
  0.8065231 -0.01505157
  0.8123129 -0.01469167
  0.8181005 -0.01431306
  0.8238872 -0.01391575
  0.8296744 -0.01349968
  0.8354644 -0.01306506
  0.8412592 -0.01261344
  0.8470604 -0.01214675
  0.8528692 -0.01166696
  0.8586858 -0.01117607
  0.8645101 -0.01067612
  0.8703412 -0.01016916
  0.8761777 -0.009657339
  0.8820174 -0.009142759
  0.8878582 -0.008627176
  0.8936981 -0.008112239
  0.8995355 -0.007599562
  0.9053693 -0.007090698
  0.9111986 -0.006587137
  0.917023 -0.006090325
  0.9228426 -0.005601614
  0.928658 -0.005122188
  0.934471 -0.004653132
  0.9402843 -0.004194964
  0.9460995 -0.003747272
  0.9519171 -0.003309674
  0.9577358 -0.002882263
  0.963553 -0.00246552
  0.9693656 -0.002059879
  0.975176 -0.001665257
  0.9809819 -0.001280034
  0.9867113 -0.0009036928
  0.9921502 -0.0005425796
  0.9968378 -0.0002570994
  1.0 0.0
