FX 84-W-127
  0.3004854 0.09844384
  0.2940772 0.09799048
  0.2876628 0.09749515
  0.2812419 0.09695893
  0.2748184 0.09638323
  0.2683994 0.0957686
  0.2619914 0.09511481
  0.255599 0.09442161
  0.2492254 0.09368866
  0.2428719 0.0929154
  0.2365387 0.09210094
  0.2302241 0.09124406
  0.2239247 0.09034332
  0.2176359 0.08939705
  0.2113528 0.08840476
  0.2050734 0.08736708
  0.1987994 0.0862852
  0.192536 0.08516094
  0.1862914 0.08399546
  0.1800726 0.08278856
  0.173885 0.08153984
  0.1677316 0.08024861
  0.1616141 0.07891381
  0.1555328 0.07753409
  0.1494875 0.07610791
  0.1434771 0.07463357
  0.1375004 0.07310976
  0.1315587 0.07153622
  0.1256563 0.06991358
  0.1198001 0.0682433
  0.113998 0.06652603
  0.1082544 0.06476104
  0.1025701 0.06294663
  0.09694292 0.06108101
  0.09137537 0.05916586
  0.08587913 0.05720664
  0.08047408 0.05521208
  0.07518464 0.05318965
  0.07003206 0.05114491
  0.06503218 0.04908303
  0.06019806 0.04700995
  0.05554723 0.04493553
  0.05110015 0.04287297
  0.04687616 0.04083612
  0.04289276 0.03883782
  0.03916201 0.0368904
  0.0356878 0.03500387
  0.03246892 0.03318431
  0.02950054 0.03143613
  0.02677246 0.02976216
  0.02427008 0.02816277
  0.02197738 0.02663539
  0.01987709 0.02517629
  0.01795136 0.02378127
  0.01618285 0.02244584
  0.01455719 0.02116472
  0.01306327 0.01993309
  0.01169082 0.01874737
  0.01043003 0.01760464
  0.009271482 0.01650227
  0.008207122 0.01543732
  0.007230057 0.01440577
  0.006333042 0.01340326
  0.005509068 0.01242564
  0.004751711 0.01146906
  0.004055282 0.01053008
  0.003416312 0.009605788
  0.002834355 0.00869476
  0.002309445 0.007797051
  0.001841388 0.006913656
  0.001429468 0.006046054
  0.001072306 0.005195873
  0.0007683292 0.004364982
  0.0005168132 0.003555198
  0.0003163768 0.002765793
  0.0001654531 0.001994099
  6.297475e-05 0.001236311
  8.805171e-06 0.0004878281
  4.078066e-06 -0.0002567038
  4.998749e-05 -0.001002394
  0.000147121 -0.001752374
  0.0002974899 -0.002508414
  0.0005044674 -0.003270889
  0.0007725083 -0.004038389
  0.00110668 -0.004807047
  0.001510876 -0.005571284
  0.00198523 -0.006327987
  0.002528414 -0.007074828
  0.003138248 -0.007809757
  0.003811857 -0.008531132
  0.00454595 -0.009237866
  0.005339739 -0.009930115
  0.006196548 -0.01060926
  0.007120272 -0.0112769
  0.008114891 -0.01193479
  0.009184132 -0.01258491
  0.01033107 -0.01322937
  0.01156031 -0.0138689
  0.01287841 -0.01450324
  0.01429247 -0.0151324
  0.01581008 -0.0157569
  0.01743949 -0.01637803
  0.01919083 -0.01699717
  0.0210776 -0.0176143
  0.02311511 -0.01822945
  0.02532048 -0.01884332
  0.02771267 -0.01945748
  0.03031265 -0.02007249
  0.03314274 -0.02068694
  0.03622342 -0.02129925
  0.03957242 -0.02190858
  0.04320613 -0.0225128
  0.04713727 -0.02310681
  0.05137177 -0.0236856
  0.05590989 -0.024245
  0.06074573 -0.02477994
  0.06586307 -0.02528596
  0.07123862 -0.02576059
  0.07684603 -0.02620119
  0.08265534 -0.0266059
  0.08863762 -0.02697499
  0.09476786 -0.02730904
  0.1010219 -0.02760904
  0.1073774 -0.02787713
  0.1138156 -0.02811482
  0.1203209 -0.02832312
  0.1268817 -0.02850363
  0.1334905 -0.02865805
  0.1401418 -0.02878807
  0.1468311 -0.02889554
