DRAGONFLY CANARD
  0.3916026 -0.03105636
  0.3989763 -0.03087363
  0.406347 -0.03067631
  0.4137177 -0.03046444
  0.4210907 -0.03023812
  0.4284679 -0.02999769
  0.4358511 -0.02974354
  0.4432423 -0.02947617
  0.4506427 -0.0291963
  0.4580532 -0.02890465
  0.4654744 -0.02860194
  0.4729071 -0.02828887
  0.4803527 -0.02796625
  0.4878119 -0.02763534
  0.4952838 -0.02729751
  0.5027665 -0.02695381
  0.5102576 -0.02660494
  0.5177549 -0.02625148
  0.5252568 -0.02589362
  0.5327627 -0.02553131
  0.5402731 -0.02516461
  0.5477883 -0.02479388
  0.5553076 -0.02441959
  0.56283 -0.02404192
  0.5703552 -0.0236608
  0.5778845 -0.02327616
  0.5854192 -0.02288844
  0.5929598 -0.0224983
  0.6005058 -0.02210635
  0.6080559 -0.02171302
  0.6156088 -0.02131875
  0.6231634 -0.02092367
  0.6307189 -0.02052774
  0.6382752 -0.02013096
  0.6458324 -0.01973378
  0.6533901 -0.01933678
  0.6609475 -0.01894039
  0.668504 -0.01854479
  0.6760592 -0.01815015
  0.6836127 -0.01775663
  0.6911646 -0.01736444
  0.6987154 -0.01697372
  0.7062651 -0.01658448
  0.7138138 -0.01619672
  0.721361 -0.01581053
  0.7289068 -0.01542607
  0.7364509 -0.01504349
  0.7439935 -0.01466291
  0.7515349 -0.01428441
  0.7590753 -0.01390807
  0.7666148 -0.01353387
  0.7741531 -0.01316181
  0.7816901 -0.01279192
  0.7892251 -0.01242429
  0.7967577 -0.01205903
  0.8042872 -0.01169632
  0.811813 -0.01133637
  0.8193342 -0.01097945
  0.82685 -0.01062597
  0.8343594 -0.01027634
  0.8418618 -0.009930818
  0.8493565 -0.00958956
  0.856843 -0.009252354
  0.8643184 -0.0089173
  0.8717755 -0.008582158
  0.8792031 -0.008244606
  0.8865917 -0.007901808
  0.8939363 -0.00755084
  0.9012344 -0.007189282
  0.9084822 -0.006815235
  0.9156742 -0.006427055
  0.9228024 -0.006023479
  0.9298563 -0.005603619
  0.9368226 -0.005166972
  0.9436847 -0.004713544
  0.9504234 -0.004244007
  0.9570142 -0.003760588
  0.9634251 -0.00326696
  0.9696204 -0.002767669
  0.975564 -0.002268042
  0.9812238 -0.001773486
  0.9865731 -0.001289135
  0.9915854 -0.0008202329
  0.9962436 -0.0003712853
  1.0 0.0
