NASA  NLF1015
  0.7500525 0.001434174
  0.7567277 0.002157749
  0.7633919 0.002863455
  0.770045 0.003550219
  0.7766866 0.004216834
  0.7833163 0.004862012
  0.7899338 0.005484483
  0.7965383 0.006082994
  0.8031294 0.006656313
  0.8097065 0.007203232
  0.8162688 0.007722563
  0.8228155 0.008212959
  0.829346 0.008672813
  0.8358593 0.009100542
  0.8423547 0.009494606
  0.8488316 0.009853515
  0.8552892 0.01017582
  0.8617269 0.01046013
  0.8681439 0.01070482
  0.8745387 0.010908
  0.8809096 0.01106781
  0.8872541 0.0111825
  0.8935693 0.0112504
  0.8998519 0.01127001
  0.9060981 0.01123959
  0.9123026 0.01115602
  0.9184585 0.01101619
  0.9245572 0.01081745
  0.9305892 0.01055775
  0.936544 0.01023567
  0.9424103 0.009848772
  0.948174 0.0093922
  0.9538199 0.008862338
  0.9593324 0.008257335
  0.9646971 0.007577108
  0.9698999 0.00682219
  0.9749252 0.005992869
  0.9797579 0.005091689
  0.9843859 0.004123399
  0.9887986 0.003095919
  0.9929715 0.002026422
  0.9968671 0.0009389434
  1.0 0.0
