DAE-11 AIRFOIL
  0.8898127 0.007257106
  0.896967 0.006891503
  0.9041108 0.006511511
  0.91124 0.006117889
  0.9183478 0.005711575
  0.9254248 0.00529364
  0.9324561 0.004864981
  0.9394172 0.004426951
  0.9462752 0.003981664
  0.9529921 0.003531812
  0.9595266 0.003080096
  0.9658358 0.002629545
  0.9718811 0.002183488
  0.9776258 0.001747619
  0.9830155 0.001331314
  0.9879986 0.0009428486
  0.9925541 0.0005861293
  0.9967009 0.0002601639
  1.0 0.0
